Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,77.1300,83.3700,72.0600,77.6900,26.5252,65211136
2000-01-31,74.7500,81.5000,68.2500,80.6900,27.7088,109109004
2000-02-29,82.4400,86.3700,74.5600,79.6200,27.3414,88645202
2000-03-31,79.8800,100.7500,77.1300,87.1900,29.9409,110318738
2000-04-28,87.9400,93.0000,71.7500,72.1200,24.9029,99979203
2000-05-31,72.5000,77.0000,68.1300,74.6900,25.7904,103784871
2000-06-30,75.8700,82.3800,44.1200,46.0600,23.8567,122980102
2000-07-31,45.8800,53.7500,45.8800,49.8100,25.9726,84149300
2000-08-31,49.8800,56.5600,49.6200,55.8800,29.1377,139772000
2000-09-29,56.6900,58.3800,44.5600,46.1900,24.6248,233944700
2000-10-31,46.6200,48.1200,32.3800,45.5000,24.4273,245473100
2000-11-30,45.5000,46.5000,35.4400,36.8800,19.7995,155467700
2000-12-29,37.1200,47.5600,36.8800,45.4400,24.3951,200159000
2001-01-31,44.6200,57.3300,43.1900,54.9900,30.1053,247102800
2001-02-28,54.9900,55.8500,45.3000,46.6600,25.5449,154547500
2001-03-30,45.6000,51.1900,37.5800,44.9000,24.5814,204257600
2001-04-30,44.5000,49.5400,38.5400,47.1600,26.0392,167154700
2001-05-31,47.9000,49.9000,45.5600,48.3100,26.6742,149322200
2001-06-29,48.4100,49.0600,41.7700,43.7100,24.1343,157719500
2001-07-31,45.1200,45.5600,40.2100,42.8800,23.8541,131864500
2001-08-31,43.4200,43.8200,38.7300,39.0200,21.7068,135245300
2001-09-28,40.2800,40.2800,29.0400,33.8200,18.8140,175067700
2001-10-31,34.2900,38.0800,31.8500,35.3600,19.8636,205630000
2001-11-30,36.0900,40.3000,35.1600,37.7200,21.1894,150775700
2001-12-31,37.0800,40.9500,35.0200,36.3500,20.4198,180358700
2002-01-31,36.4900,39.6800,30.4000,34.0500,19.3066,225098800
2002-02-28,34.0500,34.0500,26.7000,29.2500,16.5850,285216300
2002-03-28,29.6000,36.4900,29.0500,35.6500,20.2138,211048800
2002-04-30,35.9500,37.9500,33.1000,35.1000,20.0953,189633900
2002-05-31,35.4400,38.7500,34.2400,35.9500,20.5819,150664200
2002-06-28,36.0000,36.2500,30.1500,33.9200,19.4197,177232000
2002-07-31,33.5900,33.7300,18.2200,24.9600,14.4455,350909700
2002-08-30,24.9600,27.4000,22.1000,26.4000,15.2789,247681100
2002-09-30,25.6500,25.7500,17.8600,18.9900,10.9904,308858000
2002-10-31,19.1500,21.6100,15.2600,20.7500,12.2327,372556800
2002-11-29,20.7500,25.7000,20.0000,25.1700,14.8385,243834500
2002-12-31,25.9900,26.1400,22.8000,24.0000,14.1487,203658000
2003-01-31,25.2500,28.2900,22.7000,23.3400,13.9435,243213700
2003-02-28,23.5000,23.8700,20.8600,22.6800,13.5492,168216300
2003-03-31,23.1500,24.9000,20.1300,23.7100,14.1646,224183400
2003-04-30,24.1500,29.6900,23.7500,29.3500,17.7714,241402800
2003-05-30,29.3500,33.0700,28.6900,32.8600,19.8967,204510000
2003-06-30,33.3500,36.5200,33.3200,34.1800,20.6959,210944900
2003-07-31,33.8400,38.2600,33.0500,35.0500,21.4336,198713700
2003-08-29,35.0800,35.4300,32.4000,34.2200,20.9261,183969800
2003-09-30,34.4200,35.8700,33.1600,34.3300,20.9933,173570000
2003-10-31,34.7000,36.9900,34.5600,35.9000,22.1666,201848900
2003-11-28,36.2200,36.7600,34.4500,35.4000,21.8578,119712400
2003-12-31,35.6100,36.8400,34.5000,36.7300,22.6790,145825100
2004-01-30,36.5600,40.5300,36.3000,38.8900,24.2357,292400100
2004-02-27,39.1000,41.2000,38.6100,41.0200,25.5631,161986400
2004-03-31,41.2300,43.8400,40.4400,41.9500,26.1426,213536600
2004-04-30,41.9500,42.5700,37.4500,37.6000,23.6236,205652600
2004-05-28,38.0100,38.7500,34.6200,36.8400,23.1461,200758000
2004-06-30,36.8000,38.8500,36.5000,38.7700,24.3587,174976400
2004-07-30,38.5800,38.6400,35.4960,37.3300,23.6629,225139100
2004-08-31,37.2300,39.8000,35.9000,39.5800,25.0891,178960500
2004-09-30,39.5200,40.2500,38.9500,39.7300,25.1842,185980900
2004-10-29,39.9000,40.4500,36.3210,38.6000,24.6772,216650400
2004-11-30,38.7700,39.9100,37.0600,37.6500,24.0698,222462100
2004-12-31,37.8000,39.4800,37.2500,39.0100,24.9393,209201600
2005-01-31,39.4800,39.6900,36.5100,37.3300,24.0765,231082900
2005-02-28,37.5000,38.0700,35.9000,36.5500,23.5734,203306200
2005-03-31,37.0000,37.7900,34.3200,34.6000,22.3157,266804300
2005-04-29,34.7900,35.8800,33.3500,35.4900,23.1202,274126100
2005-05-31,35.5800,36.3000,34.1100,35.7500,23.2896,199696300
2005-06-30,35.5600,36.5000,35.0100,35.3200,23.0095,197370200
2005-07-29,35.2200,35.9500,34.3000,35.1400,23.1142,187460100
2005-08-31,35.3200,35.6500,33.3100,33.8900,22.2920,193472900
2005-09-30,33.7500,35.0000,33.5000,33.9300,22.3183,211341400
2005-10-31,34.1900,36.8000,32.9200,36.6200,24.3315,269054600
2005-11-30,36.7900,39.1800,36.5800,38.2500,25.4145,237640300
2005-12-30,38.5200,40.5600,38.3200,39.6900,26.3713,200859300
2006-01-31,39.8300,40.8700,37.8800,39.7500,26.6378,262471900
2006-02-28,39.8800,41.9500,39.0500,41.1400,27.5693,189953500
2006-03-31,41.2000,42.4300,40.8700,41.6400,27.9043,254538100
2006-04-28,41.9500,45.9000,41.4800,45.3800,30.6552,208177900
2006-05-31,45.3800,46.8000,41.5900,42.6400,28.8043,262343700
2006-06-30,42.7500,44.2000,39.3300,42.0000,28.3720,271716100
