Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,33.7500,34.1900,30.0000,30.8100,16.0317,14246700
2000-01-31,30.1200,30.5000,23.3800,24.2500,12.6183,18854500
2000-02-29,24.5000,25.6300,20.7500,25.3100,13.3235,22037700
2000-03-31,24.6300,27.8800,22.2500,25.7500,13.5551,21588900
2000-04-28,25.6300,28.0000,23.3100,24.2500,12.7655,17531600
2000-05-31,24.3100,32.0000,24.3100,30.3800,16.1255,21678400
2000-06-30,30.1300,30.6900,26.3800,29.7500,15.7911,15548300
2000-07-31,29.6300,30.7500,25.8800,25.9400,13.7688,10011100
2000-08-31,26.0000,27.1900,23.0000,23.1900,12.4400,12235400
2000-09-29,23.2500,25.1900,22.6300,24.1900,12.9764,12396400
2000-10-31,24.0000,26.2500,21.5600,25.3800,13.6148,17761500
2000-11-30,25.1300,28.7500,23.7500,24.6300,13.3439,24521800
2000-12-29,24.5000,26.6900,23.1900,26.2500,14.2216,16062800
2001-01-31,26.0600,27.0600,24.2500,26.2000,14.1945,20191000
2001-02-28,26.2100,28.2300,26.1700,26.5900,14.5405,14316200
2001-03-30,26.3500,28.0000,25.3500,27.0300,14.7811,15136900
2001-04-30,26.9000,27.2000,25.0000,25.5000,13.9444,15673000
2001-05-31,25.3000,26.7400,25.0000,26.7200,14.7515,13473800
2001-06-29,26.5500,29.3600,26.1000,29.0000,16.0102,17847700
2001-07-31,29.3000,31.0000,28.7000,30.0700,16.6009,16824000
2001-08-31,30.0500,34.0000,29.6900,31.9900,17.8002,24401300
2001-09-28,31.7400,32.6000,27.9800,30.0000,16.6929,21668600
2001-10-31,29.7500,30.9500,28.5000,30.5000,16.9712,21240300
2001-11-30,30.4500,32.0000,29.1100,29.4900,16.5491,17101600
2001-12-31,29.4700,30.9100,29.0000,30.1000,16.8915,17711800
2002-01-31,29.8500,31.7500,29.0200,30.8600,17.3180,19359000
2002-02-28,30.9300,35.4500,29.3900,34.5500,19.5304,30399600
2002-03-28,34.3000,34.8800,32.3000,33.5700,18.9764,21720700
2002-04-30,33.5300,36.7500,32.7500,35.9200,20.3048,21665400
2002-05-31,36.0000,37.0000,35.0000,36.7000,20.8897,19375500
2002-06-28,36.5500,37.0000,34.0700,35.8600,20.4115,27691800
2002-07-31,35.6500,36.1000,29.3500,34.4400,19.6033,35162400
2002-08-30,34.4500,35.2300,32.0700,32.1600,18.4456,26550200
2002-09-30,31.8600,33.9000,31.4400,33.2500,19.0708,22858700
2002-10-31,33.3300,36.3000,31.2800,31.8600,18.2736,32288600
2002-11-29,32.1100,34.9800,31.3400,33.3700,19.2830,23812500
2002-12-31,33.3700,35.0600,32.7000,34.2700,19.8031,19164800
2003-01-31,34.2800,35.2000,31.4800,33.4000,19.3003,26325300
2003-02-28,33.4000,33.4100,29.4400,29.5700,17.2319,21296000
2003-03-31,30.0000,30.9700,27.8500,30.6500,17.8613,26167300
2003-04-30,30.6400,33.0500,30.2700,32.7400,19.0793,19131700
2003-05-30,32.5100,35.2500,31.9000,35.2000,20.6656,22767700
2003-06-30,35.3500,35.4900,33.6200,34.3700,20.1783,19590600
2003-07-31,34.0500,35.9000,33.3800,34.3300,20.1548,22093500
2003-08-29,34.2500,34.4400,32.9800,33.5300,19.8337,15501500
2003-09-30,33.5100,33.9600,32.6000,33.3500,19.7272,20915200
2003-10-31,33.3000,34.4500,32.6000,33.1300,19.5971,19676900
2003-11-28,33.9500,35.9500,33.8800,35.7700,21.3082,21731100
2003-12-31,35.5000,38.5700,35.2900,38.0800,22.6842,22571900
2004-01-30,37.9800,38.7300,37.0100,37.8100,22.5234,20267500
2004-02-27,37.3000,39.6600,37.0000,39.4900,23.5242,19818100
2004-03-31,39.1500,39.8800,37.7000,39.2400,23.5249,26488600
2004-04-30,39.0300,43.4100,38.9100,42.9000,25.7191,31540800
2004-05-28,42.9100,43.4100,41.2900,42.4000,25.5705,18597100
2004-06-30,42.3000,42.9600,40.7900,41.8500,25.2388,18716800
2004-07-30,41.3500,42.0800,39.8800,41.6600,25.1242,19728600
2004-08-31,41.1500,42.2500,40.2600,41.9800,25.4694,16557300
2004-09-30,41.7800,43.0800,41.1000,42.6600,25.8819,19859000
2004-10-29,42.5700,43.5000,41.5120,43.0000,26.0882,18544900
2004-11-30,42.7200,45.3200,42.2000,43.7000,26.6616,25703900
2004-12-31,43.5700,44.8600,42.8400,44.6600,27.2473,18163100
2005-01-31,44.6800,45.5900,43.7400,44.6400,27.2350,21421700
2005-02-28,44.3000,45.3300,43.1600,44.0000,26.9976,24435500
2005-03-31,43.7900,44.7700,42.4100,43.2700,26.5497,32162400
2005-04-29,43.2400,44.9500,42.3500,44.9500,27.5805,25573400
2005-05-31,44.6000,45.9800,44.4300,45.4900,28.0659,20368700
2005-06-30,45.2200,46.8900,44.2000,44.4400,27.4181,23083400
2005-07-29,44.5800,45.9400,43.5000,45.3100,27.9548,15920100
2005-08-31,45.2500,46.3700,44.4900,45.3300,28.1400,20654300
2005-09-30,45.0800,46.9900,43.4200,46.1300,28.6366,36386600
2005-10-31,46.0700,46.7000,43.5000,44.1700,27.4199,27995000
2005-11-30,44.1700,45.3000,43.7600,44.0700,27.5263,31365200
2005-12-30,44.2700,44.8800,43.2200,43.2200,26.9954,25074200
2006-01-31,43.9500,44.8400,42.6400,42.9000,26.7955,27040000
2006-02-28,43.1500,45.2400,42.4100,44.3100,27.8485,31787100
2006-03-31,44.2400,45.7800,43.7900,44.0400,27.6788,28161800
2006-04-28,44.0400,46.6400,43.0600,46.3100,29.1055,25091800
2006-05-31,46.1600,47.4700,45.7200,47.1000,29.7771,35629500
2006-06-30,47.0900,48.5000,46.2501,48.4300,30.6179,32103400
2006-07-31,48.4300,49.3900,47.3100,48.1700,30.4536,33007100
2006-08-31,47.9900,50.8700,47.5900,50.7000,32.2375,22659400
2006-09-29,50.5300,50.6600,49.2000,49.5200,31.4872,23202000
2006-10-31,49.3300,50.7000,47.7100,50.3100,31.9896,28768400
2006-11-30,50.2400,50.6000,49.1300,49.7800,31.8386,25644600
2006-12-29,49.6400,50.9500,49.3300,50.0600,32.0177,23940200
2007-01-31,50.2900,51.0000,48.9500,49.2700,31.5124,25589500
2007-02-28,49.2700,50.4200,48.6800,49.8400,32.0660,39088800
2007-03-30,49.5800,52.0200,48.9100,51.4300,33.0889,35888500
2007-04-30,51.9700,54.0000,51.1800,52.9100,34.0411,23351000
2007-05-31,53.1200,54.3900,52.3900,53.9800,34.9169,30028500
2007-06-29,54.0700,54.4200,51.0500,51.7900,33.5003,45529000
2007-07-31,51.8300,52.8500,51.0400,51.8100,33.5132,42753700
2007-08-31,51.0200,55.9800,51.0200,54.9300,35.7336,52485500
2007-09-28,55.0000,56.8900,54.0200,56.0000,36.4296,34167600
2007-10-31,55.8900,56.3100,51.6000,52.7900,34.3414,41306400
2007-11-30,52.5000,54.4500,51.4900,54.0400,35.3557,39371400
2007-12-31,53.9400,55.1900,52.3500,52.4300,34.3024,24778200
2008-01-31,52.3000,53.0000,46.2500,47.8000,31.2732,58343000
2008-02-29,48.1800,52.7200,47.9500,50.7200,33.3864,53596200
2008-03-31,50.5800,52.7300,48.9000,52.5600,34.5976,47506900
2008-04-30,52.7800,54.1500,50.9400,51.1700,33.6827,46803300
2008-05-30,50.7000,52.8700,50.1600,51.8100,34.3099,36299600
2008-06-30,51.7600,52.2300,47.8100,48.0200,31.8001,55998100
2008-07-31,47.6200,54.2500,47.6200,53.0600,35.1377,54840800
2008-08-29,53.1500,55.8400,51.9500,54.4400,36.2750,41049100
2008-09-30,54.8300,58.5100,54.0000,56.1000,37.3811,47737200
2008-10-31,55.7600,57.6600,45.2500,50.4200,33.5963,91382100
2008-11-28,50.6300,53.3900,40.5100,43.4300,28.9387,56932900
2008-12-31,42.7700,44.0800,40.3200,43.8500,29.4614,57072200
2009-01-30,43.9800,45.9400,41.9600,43.6900,29.3539,48064500
2009-02-27,43.0300,45.1000,38.0000,38.9200,26.3775,57726800
2009-03-31,38.3300,38.7700,35.6400,36.6300,24.8255,71831600
2009-04-30,36.2900,43.9100,36.2900,42.1100,28.5395,55279400
2009-05-29,42.1800,44.9100,42.1800,43.2500,29.5422,43552600
2009-06-30,43.6300,46.9100,43.1700,46.5700,31.8100,49052500
2009-07-31,46.9100,49.2200,46.4700,47.5000,32.4452,51941000
2009-08-31,47.8000,47.8000,45.5800,47.0900,32.4245,42965000
2009-09-30,46.9100,49.9000,46.4200,49.2300,33.8980,37806700
2009-10-30,49.1000,52.5800,48.1500,51.5400,35.4886,41736800
2009-11-30,51.5300,54.0000,50.8200,52.5800,36.4629,34839123
2009-12-31,52.7000,54.1000,51.5500,53.2000,36.8928,35576800
2010-01-29,53.3100,55.4500,52.5500,54.4200,37.7389,43112100
2010-02-26,54.7900,55.4100,51.7000,52.1500,36.4247,51563800
2010-03-31,52.3100,54.8000,52.0500,53.4300,37.3188,50549000
2010-04-30,53.5300,55.4500,52.0300,54.9400,38.3734,56974000
2010-05-28,55.1300,56.0000,52.4000,53.4300,37.5799,58996900
2010-06-30,53.1200,55.2100,50.2100,50.3000,35.3784,65259600
2010-07-30,50.2100,52.5800,47.2800,50.0500,35.2026,62214200
2010-08-31,50.4700,51.8400,48.9700,49.6800,35.2293,73767400
2010-09-30,50.2000,51.5199,49.4900,50.5100,35.8179,39885700
2010-10-29,50.5400,51.1000,48.7200,50.2600,35.6406,58553500
2010-11-30,50.3700,50.8000,48.5100,49.2300,35.1977,76136200
2010-12-31,49.5200,51.6200,48.8500,51.0800,36.5204,48544552
2011-01-31,51.2300,52.2000,50.0300,50.3000,35.9627,45941800
2011-02-28,50.3200,54.7900,49.9900,53.5600,38.5853,59501500
2011-03-31,53.5200,55.4100,52.7200,53.9800,38.8878,46309100
2011-04-29,53.9800,57.4200,53.8000,57.2700,41.2580,28555900
2011-05-31,57.1900,57.7000,55.8600,56.9900,41.3509,42271500
2011-06-30,56.7500,56.8200,53.4500,55.3200,40.1392,45220600
2011-07-29,55.0700,56.3900,54.3500,55.7800,40.4729,36217800
2011-08-31,56.1600,56.1600,50.3800,54.3200,39.7283,64473700
2011-09-30,54.2800,54.9400,51.6300,53.1900,38.9018,41132200
2011-10-31,52.7300,55.3000,51.9400,54.2100,39.6479,36376605
2011-11-30,53.6000,54.2500,48.1000,49.1600,36.2742,64961100
2011-12-30,49.0300,50.9200,48.4700,50.5700,37.3146,35510700
2012-01-31,50.9700,51.8500,49.0700,49.5200,36.5399,40449000
2012-02-29,49.6000,53.4500,49.2700,52.3500,38.9455,57833600
