Date,Open,High,Low,Close,Adj Close,Volume
2015-08-31,80.0000,81.1900,61.4200,72.6600,56.7920,76568769
2015-09-30,71.2300,77.7599,68.6500,70.5400,55.1350,74831078
2015-10-30,71.2700,79.9400,69.3700,77.9700,60.9424,58115293
2015-11-30,78.4300,78.9300,70.2500,73.6900,58.0642,69193013
2015-12-31,74.2300,75.0000,69.3900,72.7600,57.7932,81406069
2016-01-29,71.3800,78.2200,68.1800,78.0600,62.0030,80776751
2016-02-29,77.3700,78.9000,70.0100,77.0200,61.1769,93718750
2016-03-31,77.6600,79.0500,75.5500,78.5600,62.8600,77738713
2016-04-29,78.5300,79.5500,76.6408,78.0700,62.4679,55299289
2016-05-31,78.0700,86.6600,78.0000,83.1900,67.0189,78024188
2016-06-30,83.0900,88.6300,82.5000,88.4800,71.2806,71667328
2016-07-29,88.5800,90.2600,85.2000,86.3900,69.5968,51884357
2016-08-31,86.3000,90.4900,84.2500,89.4900,72.5805,52563451
2016-09-30,89.5700,90.5400,85.3500,89.5100,72.5968,50572406
2016-10-31,89.2500,90.1500,86.5000,88.9500,72.1426,47822980
2016-11-30,89.0000,89.1800,79.9200,81.6500,66.7086,80047448
2016-12-30,81.5100,88.1600,79.6900,87.3200,71.3410,64486720
2017-01-31,87.8500,89.9000,85.4100,89.2900,72.9505,49512711
2017-02-28,88.8900,97.7700,86.3500,91.5100,74.7643,100858820
2017-03-31,91.7700,93.6700,90.4400,90.8100,74.6792,51419358
2017-04-28,90.8000,92.8950,89.8300,90.3900,74.3338,42529379
2017-05-31,90.6500,93.0900,87.1400,92.2000,76.3306,52143653
2017-06-30,92.3500,93.8800,85.4500,85.6400,70.8997,60652284
2017-07-31,85.9600,90.3800,82.2000,87.4600,72.4064,56463178
2017-08-31,87.3800,87.7700,80.2900,80.7500,67.3344,71045742
2017-09-29,80.7500,82.9800,77.4000,77.5500,64.6660,69589424
2017-10-31,77.5500,78.9400,75.2100,77.3300,64.4826,75507353
2017-11-30,77.7100,82.1800,75.5100,81.3700,68.3836,76013987
2017-12-29,80.9500,82.4800,77.0700,77.7600,65.3497,63912768
2018-01-31,78.2200,80.6700,76.6000,78.3900,65.8792,79380712
2018-02-28,78.1200,78.9500,67.0300,67.0500,56.3490,120611371
2018-03-29,67.1400,67.9890,59.9500,62.2900,52.8371,106034908
2018-04-30,61.9400,62.0000,56.1100,56.3800,47.8240,118287527
2018-05-31,56.3200,59.8600,54.1100,57.4800,49.2819,125418591
2018-06-29,57.6400,64.5400,57.0100,62.8200,53.8603,96729783
2018-07-31,62.5000,64.7500,58.9400,60.2500,51.6568,86946652
2018-08-31,60.0000,64.9900,57.6300,58.2700,50.4794,137583563
2018-09-28,58.4500,59.9100,54.3200,55.1100,47.7419,127200900
2018-10-31,55.4900,58.0800,53.0300,54.9700,47.6206,150237066
2018-11-30,55.1300,56.5000,50.4110,51.1200,44.8177,143400938
2018-12-31,51.4000,51.6900,41.6000,43.0400,37.7338,151101923
2019-01-31,42.7500,48.1000,42.2850,48.0600,42.1349,137562738
2019-02-28,48.1400,48.6600,31.8200,33.1900,29.0982,375186999
2019-03-29,33.4100,33.5500,31.5300,32.6500,28.9838,241984549
2019-04-30,32.8000,33.7800,32.0200,33.2400,29.5076,153247647
2019-05-31,33.2000,33.5700,26.9600,27.6500,24.9036,200762207
2019-06-28,27.6800,31.5000,27.6700,31.0400,27.9568,223226677
2019-07-31,31.2600,32.3900,30.2300,32.0100,28.8305,134467158
2019-08-30,32.1000,33.2500,24.8600,25.5200,23.3509,241130510
2019-09-30,25.4200,29.7600,25.2200,27.9350,25.5606,169591853
2019-10-31,27.9300,32.4630,25.9700,32.3300,29.5820,157699831
2019-11-29,32.1200,33.4300,30.1600,30.5000,28.2681,141510921
2019-12-31,30.5000,32.3150,30.3300,32.1300,29.7788,122481545
2020-01-31,32.2900,32.4200,29.0350,29.2000,27.0633,124698389
2020-02-28,29.2000,30.5500,24.0100,24.7700,22.9574,230030086
2020-03-31,24.7500,27.3800,19.9900,24.7400,23.3868,269494229
2020-04-30,24.0200,31.0350,23.3600,30.3300,28.6711,158556546
2020-05-29,29.9900,31.1400,28.1200,30.4700,29.1826,115270460
2020-06-30,30.5000,34.0000,30.3200,31.8900,30.5426,151533997
2020-07-31,31.9300,35.8700,31.1600,34.3800,32.9273,134774504
2020-08-31,34.4742,36.3686,34.2500,35.0400,33.9456,101544709
2020-09-30,34.7500,35.0500,28.5620,29.9500,29.0146,157918865
2020-10-30,30.0000,32.8700,29.2100,30.5900,29.6346,125804647
2020-11-30,31.0400,33.8600,29.5350,32.9400,32.3035,137575427
2020-12-31,32.9700,35.4100,32.7500,34.6600,33.9903,104324204
2021-01-29,34.5900,35.2950,31.6000,33.5100,32.8625,130061089
2021-02-26,33.4600,39.2200,32.7300,36.3800,35.6770,172364386
2021-03-31,36.7800,41.2077,36.5600,40.0000,39.6350,172224205
2021-04-30,40.0718,41.9800,39.3709,41.2900,40.9132,128919335
2021-05-28,41.5200,44.9500,41.5100,43.5900,43.5900,92315339
2021-06-30,43.7200,44.3350,39.7700,40.7800,40.7800,101716960
2021-07-30,40.9250,40.9250,38.3750,38.4700,38.4700,89395187
2021-08-10,38.5950,39.1150,36.4100,37.4700,37.4700,49353750
