Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,21.5000,22.1900,14.8800,18.8700,7.3171,182184300
2000-01-31,19.1200,20.1900,15.8100,17.3700,6.7355,107210600
2000-02-29,17.4400,18.5000,14.0600,14.9400,5.7932,82401600
2000-03-31,14.9400,18.2500,14.0600,17.5600,6.8091,109992000
2000-04-28,17.8100,21.9400,16.6900,18.5600,7.1969,85302900
2000-05-31,18.1900,21.3100,17.8700,19.8700,7.7049,58952500
2000-06-30,19.8700,22.1900,17.9400,22.0600,8.5541,75772400
2000-07-31,21.8700,23.1900,20.6900,20.6900,8.0228,45606200
2000-08-31,20.7500,23.4400,20.3100,22.7000,8.8022,81727500
2000-09-29,22.5600,23.7500,21.6200,22.5600,8.7479,60214300
2000-10-31,22.3700,22.5600,19.8700,22.5600,8.7479,65611400
2000-11-30,22.3700,27.4400,22.3700,26.5000,10.2757,68065300
2000-12-29,26.5600,27.9400,23.6200,27.0600,10.4929,61470600
2001-01-31,26.7500,26.8100,22.0600,24.5500,9.5196,75543300
2001-02-28,24.6000,25.3400,23.5000,24.2400,9.3994,44007800
2001-03-30,24.1000,25.8500,22.4000,25.7900,10.0004,81473200
2001-04-30,25.7900,25.8500,21.1600,22.5900,8.7596,91005500
2001-05-31,23.1000,25.3000,22.9500,24.9400,9.6708,63478600
2001-06-29,24.7500,26.1200,24.0000,25.0000,9.6941,50493800
2001-07-31,25.3000,26.7000,23.1000,26.3600,10.2214,58064600
2001-08-31,26.2000,27.1500,24.8800,26.6200,10.3223,57282800
2001-09-28,26.8700,27.6600,22.7000,24.6400,9.5545,74644000
2001-10-31,24.9600,25.9100,23.3500,24.4600,9.4847,64976000
2001-11-30,24.6000,25.7800,23.5000,25.3200,9.8182,56590400
2001-12-31,25.0600,25.9400,19.6000,20.8700,8.0926,155728500
2002-01-31,20.8000,21.1300,19.9900,20.6000,7.9879,111087800
2002-02-28,20.5000,22.5000,20.1500,22.1500,8.5890,64441400
2002-03-28,22.0500,23.0000,21.6100,22.1600,8.5928,67522500
2002-04-30,22.2000,23.2300,21.7000,22.7700,8.8294,61642800
2002-05-31,22.6700,23.8100,21.9100,22.3500,8.6665,65980300
2002-06-28,22.4500,22.6700,18.5000,19.9000,7.7165,95620800
2002-07-31,20.0500,20.4900,17.5300,19.4800,7.5536,84702800
2002-08-30,19.2300,20.7500,17.4500,18.0800,7.0108,70479800
2002-09-30,18.1500,18.7200,13.5000,14.1000,5.4675,95055700
