Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,49.8800,60.0000,47.9400,59.7500,11.3658,37197900
2000-01-31,58.8100,59.4400,43.0600,44.6300,8.4953,38248400
2000-02-29,44.8800,48.8100,40.7500,47.8100,9.1006,39197900
2000-03-31,48.5000,59.8800,41.0600,58.3800,11.1126,46826200
2000-04-28,58.4400,67.2500,49.5000,49.5000,9.4275,43305200
2000-05-31,50.0000,52.6900,43.9400,46.8800,8.9285,38940700
2000-06-30,46.6900,51.3800,40.3800,41.0600,7.8200,50260500
2000-07-31,41.0000,48.4400,40.5000,42.1300,8.0297,35295400
2000-08-31,42.7500,49.5600,41.6300,44.8300,8.5443,46201900
2000-09-29,44.9400,54.5000,44.7500,44.8800,8.5538,44943300
2000-10-31,44.2500,45.9400,34.2500,45.6900,8.7156,58601400
2000-11-30,46.5000,46.7500,38.3100,40.0600,7.6417,45353200
2000-12-29,39.5000,45.8100,37.7500,44.5000,8.4886,48175100
2001-01-31,45.1300,55.5000,43.7500,53.4500,10.2033,59259300
2001-02-28,53.4500,59.5500,49.5700,55.8800,10.6672,80078100
2001-03-30,56.2300,64.6000,53.2000,58.4500,11.1578,84612100
2001-04-30,57.8500,63.7000,52.3000,63.0000,12.0334,68592600
2001-05-31,63.0000,73.7000,60.6000,69.5300,13.2807,67809500
2001-06-29,69.2300,79.7200,68.1200,72.5500,13.8575,54202900
2001-07-31,37.1500,39.6200,33.5000,38.1800,14.5930,84693650
2001-08-31,37.8000,39.3000,34.8300,37.2000,14.2184,89138800
2001-09-28,37.3000,38.2300,24.9900,31.6500,12.0971,93420200
2001-10-31,31.1000,35.7000,30.0000,34.1000,13.0413,104862500
2001-11-30,34.3500,45.5500,33.7000,45.3100,17.3285,116804100
2001-12-31,45.8400,48.8800,44.7900,46.4100,17.7492,71742900
2002-01-31,46.0200,46.3500,40.1500,46.0700,17.6277,108919800
2002-02-28,46.3000,47.7800,43.2500,45.2500,17.3140,81966300
2002-03-28,45.0100,45.6000,41.3500,43.4900,16.6405,93180900
2002-04-30,43.4700,45.7000,41.9000,42.2900,16.1887,63375700
2002-05-31,42.3900,49.9900,37.3800,47.1600,18.0529,107989100
2002-06-28,47.0000,48.5400,43.3500,45.4000,17.3792,95413900
2002-07-31,45.4000,46.4300,32.7000,37.8500,14.4966,140967300
2002-08-30,37.2500,44.2000,32.5000,41.3800,15.8486,122651000
2002-09-30,41.1300,46.0000,39.5900,41.4000,15.8563,103911100
2002-10-31,41.4000,44.8100,36.4900,41.7300,15.9903,135949200
2002-11-29,41.7400,43.8000,37.8300,41.5000,15.9022,119178900
2002-12-31,42.5000,42.6800,36.5000,37.5000,14.3695,82455100
2003-01-31,37.9000,39.5100,33.8600,34.1800,13.1059,120054400
2003-02-28,34.5500,39.8700,33.3700,39.3000,15.0691,89178800
2003-03-31,39.5500,42.6700,35.4500,40.8100,15.6481,105692800
2003-04-30,41.0500,46.0000,40.3000,43.8900,16.8383,98576600
2003-05-30,43.6500,46.4300,38.2000,42.2600,16.2130,128433900
2003-06-30,42.6000,45.8400,42.0900,42.9500,16.4777,96096500
2003-07-31,42.8200,48.7100,41.8100,47.5600,18.2560,92715800
2003-08-29,47.5600,54.9500,45.5400,54.8600,21.0581,84562500
2003-09-30,54.7600,55.9000,50.3000,51.9000,19.9219,87788800
2003-10-31,52.0500,59.9500,52.0000,58.9300,22.6321,80705400
2003-11-28,59.2000,60.4200,56.8000,58.3000,22.3902,58551600
2003-12-31,58.3600,58.6200,52.4400,55.3900,21.2726,75450000
2004-01-30,55.8500,56.2510,50.7500,53.5500,20.5776,91475200
2004-02-27,53.7000,58.6620,52.8000,56.0000,21.5191,73864600
2004-03-31,56.1000,56.9400,51.7700,56.1300,21.5690,84002100
2004-04-30,55.8800,56.3000,51.7000,52.0600,20.0167,75046500
2004-05-28,52.5500,54.4900,48.1000,53.5700,20.5973,95790200
2004-06-30,53.7000,56.1600,51.8800,52.5500,20.2051,73822800
2004-07-30,52.5600,54.0900,47.6800,48.7200,18.7468,75771500
2004-08-31,48.4400,50.8900,45.9000,49.7000,19.1239,79292700
2004-09-30,49.9500,55.0000,49.6000,54.3500,20.9132,70592300
2004-10-29,54.6000,57.7500,53.8900,56.2800,21.6716,61772100
2004-11-30,56.3800,60.5400,55.0500,55.3300,21.3058,77230400
2004-12-31,55.7800,59.5600,55.6400,57.5900,22.1760,55662100
2005-01-31,57.9800,58.3300,55.0700,56.9900,21.9603,56430400
2005-02-28,57.2000,59.9700,56.6400,58.7800,22.6500,57876700
2005-03-31,58.6200,59.0800,55.7300,57.0900,21.9988,71293700
2005-04-29,57.3000,57.3600,50.7200,52.1100,20.0948,77174500
2005-05-31,52.1000,57.9900,51.8700,57.2100,22.0614,81497200
2005-06-30,57.0500,59.9900,56.5200,58.2200,22.4509,67626200
2005-07-29,58.2800,67.0100,57.0000,66.2200,25.5605,71026900
2005-08-31,66.2300,66.9700,62.3000,64.3100,24.8233,91426000
2005-09-30,64.2100,68.9500,61.2300,64.4000,24.8580,86723700
2005-10-31,64.4800,65.2000,57.8300,60.7700,23.4798,89400500
2005-11-30,60.6000,67.8700,59.6500,67.4800,26.0723,93169000
2005-12-30,67.8500,69.7000,66.5000,66.6600,25.7555,60419000
2006-01-31,66.6100,67.4100,63.0500,63.5500,24.5765,73032700
2006-02-28,64.2000,69.6500,61.1600,68.1800,26.3671,72893000
2006-03-31,68.1800,68.8500,64.4000,64.4400,24.9207,81962700
2006-04-28,64.9500,66.9600,62.3000,63.0500,24.4061,75575000
2006-05-31,63.4200,65.7000,59.0000,62.2800,24.1080,89263500
2006-06-30,62.1000,64.0100,60.0600,60.6700,23.4848,83080300
2006-07-31,30.3600,31.1500,26.9000,28.3500,21.9863,171660550
2006-08-31,28.3500,29.9500,26.1500,27.0600,20.9859,203134600
2006-09-29,27.0800,29.6900,26.7600,28.0600,21.7614,185743200
2006-10-31,28.0990,31.5500,27.8500,30.1400,23.4119,198882300
2006-11-30,30.1600,31.1900,28.5900,30.1600,23.4274,209490300
2006-12-29,30.5000,31.9800,30.1500,31.1500,24.1964,155780500
2007-01-31,31.2100,33.9500,31.1300,33.7100,26.2244,149914900
2007-02-28,33.9000,35.7400,32.4400,32.5500,25.3219,137894400
2007-03-30,32.1500,33.2600,29.8700,31.4900,24.4973,217697100
2007-04-30,31.4300,32.2300,30.5500,30.5600,23.8116,126989900
2007-05-31,30.6500,32.9500,30.3500,32.8200,25.5725,223168500
2007-06-29,32.9200,33.1900,30.5600,30.6900,23.9129,181453000
2007-07-31,30.8000,31.3100,27.3800,28.0100,21.8835,210691200
2007-08-31,27.9400,31.2900,25.9800,31.0600,24.2664,282289800
2007-09-28,30.7500,32.5300,27.9900,28.0200,21.8913,220043500
2007-10-31,28.1700,31.7200,25.9200,26.8900,21.0698,206489000
2007-11-30,26.5100,26.8700,21.7600,24.4100,19.1266,310057500
2007-12-31,24.4100,25.2900,21.0100,22.6200,17.7241,170333600
2008-01-31,22.7800,26.8700,19.9400,26.4300,20.7860,347210100
2008-02-29,25.9600,26.3500,22.7000,23.9700,18.8514,259327000
2008-03-31,24.1400,24.9200,20.2500,22.9400,18.0413,298292700
2008-04-30,23.2700,26.0500,23.1600,25.1900,19.8756,219777300
2008-05-30,25.0500,27.1800,23.0200,24.0000,18.9366,263427400
2008-06-30,24.2800,24.8200,20.5200,20.7500,16.3723,248254100
2008-07-31,20.4700,21.8300,18.0000,20.3200,16.1035,293623400
2008-08-29,20.4400,25.4700,19.9700,24.6400,19.5271,292435600
2008-09-30,25.2800,28.4900,21.7700,23.6900,18.7742,485354500
2008-10-31,23.4100,23.6300,15.7600,21.7000,17.2777,502020700
2008-11-28,21.7000,22.0000,15.8500,20.6600,16.4497,330178200
2008-12-31,20.1300,23.7300,18.4600,21.5200,17.1344,351765200
2009-01-30,21.5000,23.1700,18.1500,18.2700,14.6100,268829800
2009-02-27,18.0000,19.4400,14.9100,15.8400,12.6668,365730700
2009-03-31,15.4600,19.4700,13.0000,18.2500,14.5940,437259300
2009-04-30,17.9300,22.0900,17.6500,21.5000,17.2681,331972000
2009-05-29,21.5400,21.7500,18.3000,19.0100,15.2682,377840500
2009-06-30,19.2300,20.9900,18.0200,19.4100,15.5895,308903700
2009-07-31,19.4800,22.6800,18.4300,22.4600,18.1202,237556800
2009-08-31,22.7100,24.0900,19.6850,21.5000,17.3457,361653900
2009-09-30,21.2600,22.3700,20.5500,20.9400,16.8939,271459500
2009-10-30,21.0500,21.9900,19.4600,19.5700,15.8540,365531700
2009-11-30,19.6000,22.2400,19.1500,21.8100,17.6687,302982400
2009-12-31,22.0900,24.5000,22.0200,23.3900,18.9487,258476200
2010-01-29,23.5100,23.8100,21.6100,21.6500,17.6073,243055300
2010-02-26,21.7200,23.9700,21.2900,23.7100,19.2826,300811800
2010-03-31,23.7900,25.3100,23.5300,24.2400,19.7137,250390800
2010-04-30,24.3700,28.5400,24.3500,27.1200,22.1309,288537900
2010-05-28,27.2900,27.9250,23.0900,24.7500,20.1969,387366500
2010-06-30,24.5800,24.8900,20.3600,20.4200,16.6635,334819300
2010-07-30,20.5500,21.9900,19.6400,20.7400,17.0180,294695100
2010-08-31,21.0700,21.4000,19.3500,20.2800,16.6406,345832800
2010-09-30,20.4800,22.6000,20.4700,22.2900,18.2899,220476600
2010-10-29,22.3800,22.9050,20.8000,21.3400,17.6019,274488500
2010-11-30,21.3100,22.9000,21.0900,22.7000,18.7236,261230500
2010-12-31,22.9500,25.8600,22.9500,25.0800,20.6867,316630000
2011-01-31,25.2100,26.2900,23.5400,24.8000,20.5458,232107000
2011-02-28,24.8900,26.6100,24.1300,26.1700,21.6808,268242400
2011-03-31,26.3500,27.4500,25.2400,26.4300,21.8962,302441000
2011-04-29,26.4700,27.3300,25.9100,26.2500,21.8374,187381627
2011-05-31,26.3800,26.6000,24.0500,24.1400,20.0821,282681811
2011-06-30,24.0900,24.1600,22.0300,23.3100,19.3917,393783000
2011-07-29,23.3000,24.2100,21.3050,21.5800,18.0642,253321700
2011-08-31,21.6100,21.6800,18.0700,19.9300,16.6830,490155800
2011-09-30,19.9400,20.6700,18.2800,19.3400,16.1891,323187100
2011-10-31,19.3900,22.4800,18.5500,21.0200,17.7133,298532404
2011-11-30,20.3900,25.1000,20.3400,24.0100,20.2330,354660200
2011-12-30,23.9100,26.0400,23.8300,25.3800,21.3874,364271000
2012-01-31,25.6600,27.5700,25.4350,26.8300,22.7296,299912600
2012-02-29,27.1600,28.5200,26.4950,28.3800,24.0427,300001500
2012-03-30,28.4100,31.5700,27.7800,31.3800,26.5842,352719500
2012-04-30,31.3100,32.2900,30.3300,31.4700,26.7804,218930100
2012-05-31,31.5200,32.2300,25.2800,26.7200,22.7382,415679200
2012-06-29,26.1300,28.7100,26.0300,28.4400,24.2019,313597300
2012-07-31,28.4600,28.6300,25.1100,25.3700,21.7234,285517100
2012-08-31,25.4400,28.7100,24.7600,28.4800,24.3864,353219500
2012-09-28,28.5600,30.5600,27.8100,30.2400,25.8934,245529100
2012-10-31,30.3100,33.2900,30.0400,32.3800,27.8615,236740500
2012-11-30,32.5900,36.2700,31.2300,36.0900,31.0537,271673700
2012-12-31,35.9300,36.4700,34.2010,35.5200,30.5633,203661300
2013-01-31,36.1300,39.2600,34.4300,38.1900,33.0028,193293100
2013-02-28,38.4500,39.9800,35.8600,38.1500,32.9683,198474000
2013-03-28,37.9100,39.6900,37.5500,37.9200,32.7695,152131800
2013-04-30,37.8000,39.4200,37.0900,38.4200,33.3425,179649000
2013-05-31,38.3400,43.8400,37.9800,42.1100,36.5449,181833100
2013-06-28,42.1200,42.4600,38.8700,40.9000,35.4948,166586507
2013-07-31,41.1900,45.3000,40.9500,44.5800,38.8443,133352000
2013-08-30,44.9400,47.5100,43.5200,45.8200,39.9248,181930100
2013-09-30,46.2500,49.1700,45.1700,47.6100,41.4845,128951500
2013-10-31,47.6400,50.7400,46.0950,49.7800,43.5379,166894000
2013-11-29,49.8300,52.0800,47.1600,47.4800,41.5263,167618100
2013-12-31,47.5800,49.6050,45.7500,49.5500,43.3367,121741000
2014-01-31,49.5500,49.9100,45.6200,46.2900,40.6386,139020000
2014-02-28,46.2600,51.2800,44.4500,50.0300,43.9220,149539600
2014-03-31,48.6000,50.7800,48.1600,48.9000,42.9299,112090900
2014-04-30,49.0700,49.9700,45.6500,45.9100,40.4604,113172100
2014-05-30,46.0500,47.8300,44.1300,47.0800,41.4915,112803800
2014-06-30,47.0900,48.2500,45.1000,47.9900,42.2935,134003400
2014-07-31,48.0300,48.5400,46.4800,47.8500,42.3739,92834217
2014-08-29,47.8900,53.0400,47.2700,52.5100,46.5006,116345400
2014-09-30,52.6600,54.8100,52.0300,52.9200,46.8637,102259943
2014-10-31,52.7600,57.4100,49.8500,57.2000,50.8717,138268735
2014-11-28,57.2000,64.1400,56.7600,63.8300,56.7682,97612843
2014-12-31,63.5500,69.5700,62.9100,68.8000,61.1883,111699809
2015-01-30,69.0000,71.1100,65.3600,67.7600,60.4673,112944393
2015-02-27,67.5800,75.9800,66.1650,74.0900,66.1160,93867900
2015-03-31,73.5200,76.2500,72.4800,74.3900,66.3837,103213635
2015-04-30,74.3200,75.6400,68.6000,68.8600,61.6435,90446085
2015-05-29,67.6700,73.9300,67.6000,69.9800,62.6461,116897892
2015-06-30,69.9600,71.0800,66.6900,66.9700,59.9515,111234390
2015-07-31,67.4500,69.8000,65.8300,69.3600,62.3517,112699887
2015-08-31,69.1700,74.7800,64.2200,69.1700,62.1809,139064678
2015-09-30,68.0000,71.5900,66.2200,68.9200,61.9562,93914355
2015-10-30,69.0400,74.5700,68.1600,73.8300,66.6231,85392979
2015-11-30,73.9000,78.1300,69.7500,76.6000,69.1228,109596912
2015-12-31,76.9100,77.6700,73.8700,76.0400,68.6174,84563097
2016-01-29,74.6900,76.4699,66.9300,71.6600,64.9274,119577571
2016-02-29,70.5400,72.8900,62.6201,67.5300,61.1854,144315399
2016-03-31,68.1800,76.3800,66.9200,75.7500,68.6332,99083088
2016-04-29,75.6300,77.6300,74.6700,76.0200,69.1271,83838274
2016-05-31,75.3300,80.6900,74.5600,80.1300,72.8644,108146955
2016-06-30,79.8600,80.7600,75.3500,79.1700,71.9915,113741506
2016-07-29,79.3400,83.6500,78.8200,82.2800,75.1391,86552630
2016-08-31,81.9100,82.6800,75.8100,76.5600,69.9156,114272443
2016-09-30,76.6900,77.0800,70.4070,72.2100,65.9431,118338697
2016-10-31,72.0600,73.2200,66.3800,66.6500,61.1700,125701484
2016-11-30,66.4400,72.3700,64.8700,70.5500,64.7494,156896953
2016-12-30,70.3400,76.4650,69.9200,71.1200,65.2725,121350837
2017-01-31,71.7100,74.7500,70.4900,73.0800,67.3948,104190986
2017-02-28,72.9100,77.5200,71.7900,74.3700,68.5844,106682848
2017-03-31,81.2800,84.0000,80.2800,82.2100,75.8145,107046646
2017-04-28,83.1100,85.7600,81.0500,84.8800,78.6023,80758267
2017-05-31,84.8400,86.2500,78.1000,78.7700,72.9442,133647236
2017-06-30,78.7700,81.4499,75.7900,77.5300,71.7959,130606032
2017-07-31,78.0000,78.4500,71.5800,77.4000,72.0710,119485009
2017-08-31,77.2700,78.9100,70.7600,73.8900,68.8027,146575533
2017-09-29,74.1900,80.1500,73.7200,79.9400,74.4361,143491885
2017-10-31,80.0400,82.7400,79.4000,79.9500,74.8215,105338364
2017-11-30,79.6200,84.6800,75.3610,83.3700,78.0221,139393940
2017-12-29,83.2400,93.5500,82.1200,92.9400,86.9783,128541889
2018-01-31,93.0200,108.9800,91.1700,104.7300,98.3872,126614478
2018-02-28,103.8400,105.0800,86.7500,89.5900,84.1641,147792997
2018-03-29,89.5700,90.3300,83.7400,87.7500,82.4355,169281962
2018-04-30,87.3500,89.1500,81.3100,82.4300,77.8207,132474628
2018-05-31,81.7500,97.9800,81.1600,95.0100,89.6972,143773650
2018-06-29,95.4400,101.3300,95.1600,95.5700,90.2259,91998865
2018-07-31,95.3600,101.9800,93.9600,99.3400,94.2353,76343089
2018-08-31,98.9900,109.8000,96.2400,108.7500,103.1617,107519546
2018-09-28,108.3900,117.7000,108.0300,114.8200,108.9198,94437316
2018-10-31,115.5800,115.6300,91.6100,95.2200,90.7688,117776225
2018-11-30,95.2900,100.6900,84.7500,94.3700,89.9586,114557642
2018-12-31,95.4900,96.0600,85.9000,92.3600,88.0425,106725197
2019-01-31,91.2200,98.2200,90.2300,96.1600,92.1455,98823417
