Date,Open,High,Low,Close,Adj Close,Volume
2005-01-31,49.3500,49.9000,41.4100,43.4000,28.9869,22770600
2005-02-28,44.0000,51.4000,43.1000,47.9000,31.9925,15508400
2005-03-31,47.9800,50.9700,43.9000,45.0000,30.0556,25344100
2005-04-29,45.0100,45.3400,36.4000,37.4500,25.0129,26641600
2005-05-31,37.4000,38.4300,33.1000,36.2600,24.2181,22889400
2005-06-30,36.5500,39.9500,35.2400,35.7500,23.8775,18384100
2005-07-29,36.0000,40.4800,35.4500,40.2200,26.8630,10826800
2005-08-31,40.2200,40.7300,34.8100,35.2900,23.5702,13738900
2005-09-30,35.1900,38.9500,30.8700,32.9100,21.9806,24373100
2005-10-31,32.9100,34.6500,29.0800,34.3000,22.9090,19565900
2005-11-30,34.3000,46.4400,33.2300,41.7100,27.8582,29517100
2005-12-30,41.7500,42.1000,38.0700,39.4700,26.3621,17687500
2006-01-31,39.7200,51.5900,38.4400,51.3500,34.2967,28621700
2006-02-28,51.3500,56.7700,46.1600,53.3500,35.6325,29610200
2006-03-31,53.2400,58.0300,49.2500,56.6600,37.8433,72126200
2006-04-28,56.3500,66.9260,54.6800,64.8100,43.2867,36272100
2006-05-31,64.8500,73.1399,58.0000,70.6100,47.1605,47577500
2006-06-30,70.5700,78.9000,60.6300,77.8600,52.0028,46702900
2006-07-31,77.8500,77.8600,57.6801,62.0300,41.4299,53396700
2006-08-31,61.7800,71.8800,58.9100,69.8100,46.6262,46404300
2006-09-29,71.0000,72.7688,63.6800,68.3500,45.6511,44797700
2006-10-31,69.4900,78.8800,66.0600,76.2000,50.8941,33338900
2006-11-30,76.4000,96.9000,71.1500,91.5600,61.1530,65079200
2006-12-29,92.0500,97.2500,88.2600,89.4800,59.7638,35213600
2007-01-31,91.5000,109.4500,89.8800,104.0700,69.5085,60171500
2007-02-28,105.0700,106.8500,83.3900,86.3400,57.6666,52654300
2007-03-30,85.0000,93.1600,81.0000,86.6100,57.8469,51004100
2007-04-30,86.6100,91.9300,84.6500,85.1900,56.8985,33326700
2007-05-31,85.5000,88.8800,75.1700,78.0200,52.1097,81476800
2007-06-29,78.0200,82.6300,71.2400,76.3900,51.0210,69626600
2007-07-31,77.8200,88.9500,75.5600,87.2500,58.2744,62083800
2007-08-31,86.7900,110.0000,84.1700,99.7000,66.5898,98079500
2007-09-28,100.3000,142.7500,98.5500,133.4200,89.1114,88616500
2007-10-31,134.3000,148.7600,121.9500,133.0800,88.8843,80946800
2007-11-30,132.3300,132.8900,105.1200,113.4000,75.7400,65838900
2007-12-31,112.2700,122.9600,102.5000,103.0500,68.8272,33439200
2008-01-31,103.5400,105.3800,70.7000,87.7500,58.6083,76764600
2008-02-29,89.1700,95.2600,80.5500,83.3000,55.6362,55137700
2008-03-31,81.7800,84.2900,70.0000,73.6400,49.1843,40866700
2008-04-30,74.4300,83.1300,64.8700,76.2200,50.9074,76896300
2008-05-30,69.0000,76.5000,63.5700,69.4400,46.3791,70285000
2008-06-30,68.9800,69.2400,45.3000,47.4400,31.6852,82820900
2008-07-31,45.4000,56.6700,30.5600,45.5200,30.4029,154287900
2008-08-29,46.7500,59.1700,39.3300,47.4100,31.6652,95304800
2008-09-30,49.5600,51.6600,30.8801,36.1100,24.1179,109884600
2008-10-31,36.4700,37.0000,4.3200,14.1900,9.4775,342854000
2008-11-28,15.9000,16.8100,2.8900,5.1700,3.4530,544615200
2008-12-31,4.9000,7.8000,3.5600,5.9300,3.9607,339759300
2009-01-30,5.9000,9.1500,5.0000,5.1500,3.4397,336545500
2009-02-27,4.9300,5.0500,2.1300,2.2800,1.5228,455886900
2009-03-31,2.2500,3.3200,1.3800,3.0100,2.0104,715803900
2009-04-30,3.1800,9.0500,3.0800,7.8200,5.2230,1205683900
2009-05-29,8.0000,11.8400,7.4400,9.9100,6.6189,1122227300
2009-06-30,10.1700,10.8000,6.8800,7.8600,5.2497,610579300
2009-07-31,8.1400,11.5587,6.3200,9.3500,6.2449,849875500
2009-08-31,9.7300,14.9700,9.7000,14.2600,9.5243,858255300
2009-09-30,14.1400,20.7300,13.3000,16.8400,11.2475,1097657800
2009-10-30,16.6100,18.8400,12.9500,15.0900,10.0786,963594000
2009-11-30,14.9700,18.5000,13.7100,15.3200,10.2322,595932000
2009-12-31,15.8000,16.7100,14.8700,14.9400,9.9784,357809000
2010-01-29,15.6000,19.1200,15.3700,15.5000,10.3525,553831800
2010-02-26,15.6700,17.9500,14.8800,16.6300,11.1072,484729100
2010-03-31,16.8700,22.4900,16.7800,21.1500,14.1261,806479100
2010-04-30,21.1800,26.5700,20.7000,24.8600,16.6040,802697700
2010-05-28,25.3900,25.8300,18.0800,23.4800,15.6823,937438400
2010-06-30,23.1700,27.8400,22.0200,22.1400,14.7873,911747800
2010-07-30,22.1400,27.4900,20.7300,26.8600,17.9398,669165600
2010-08-31,27.5000,30.4700,26.7700,28.3300,18.9216,610207500
2010-09-30,28.7000,35.9000,28.3000,34.8500,23.2764,548761600
2010-10-29,35.3400,46.1495,34.6100,45.8800,30.6433,659682900
2010-11-30,46.3500,55.4700,44.1000,50.0800,33.4485,901314400
2010-12-31,51.7600,52.0800,41.7000,45.9500,30.6901,707413700
2011-01-31,47.2600,51.0500,44.1100,46.4900,31.0507,558209800
2011-02-28,47.3400,50.6500,43.6500,46.6400,31.1509,451780400
2011-03-31,45.2800,45.9400,36.0500,42.2200,28.1988,608600600
2011-04-29,43.8000,47.0800,42.4200,47.0100,31.3980,314436300
2011-05-31,47.3700,48.2500,39.5900,41.5400,27.7446,314333600
2011-06-30,41.6400,43.2200,37.2300,42.2100,28.1921,316903300
2011-07-29,42.5900,48.4700,42.2800,47.1800,31.5116,316886400
2011-08-31,48.4000,48.7488,36.0800,46.5700,31.1042,497978800
2011-09-30,46.9700,50.4900,37.7500,38.3400,25.6073,426412900
2011-10-31,37.0500,49.4400,36.2000,46.9500,31.3580,388720900
2011-11-30,45.1700,49.2500,42.2300,46.7100,31.1977,267378200
2011-12-30,46.3000,47.2930,40.0300,42.7300,28.5394,187396600
2012-01-31,43.6900,50.6800,41.7700,49.1100,32.8006,215649600
2012-02-29,49.3600,56.0000,49.0800,55.6100,37.1420,204563500
2012-03-30,56.2900,59.8500,52.7100,57.5700,38.6209,207924100
2012-04-30,57.2900,62.0900,54.6700,55.4900,37.2255,231358900
2012-05-31,55.4800,56.6400,45.0000,46.1800,30.9799,235957200
2012-06-29,44.6900,48.6000,41.2750,43.4900,29.3370,206628200
2012-07-31,43.2600,43.8350,34.7200,36.4200,24.5678,230480500
2012-08-31,36.8900,43.8700,36.2900,42.3900,28.5950,202050100
2012-09-28,42.1900,47.5900,40.5000,46.3700,31.4504,156436400
2012-10-31,46.6700,47.0900,42.6300,46.4400,31.4979,115261800
2012-11-30,46.4200,47.2500,40.2800,46.6500,31.6403,159056100
2012-12-31,46.9300,48.1000,42.6700,46.1600,33.4492,126906800
2013-01-31,48.0800,55.3700,47.9900,55.2500,40.0362,177884200
2013-02-28,54.7600,55.9400,48.2878,51.4900,37.3115,151633900
2013-03-28,51.2800,56.8300,49.8300,56.3500,41.1041,108428700
2013-04-30,56.3500,57.1100,50.9600,56.2500,41.0312,120412400
2013-05-31,56.1200,60.5400,55.8900,57.9000,42.2348,106649900
2013-06-28,58.3000,59.0500,47.9500,52.9300,38.8462,139258600
2013-07-31,53.9800,56.5500,50.6700,55.5700,40.7838,96592000
2013-08-30,56.1100,58.1100,54.3600,56.3500,41.3562,76959300
2013-09-30,57.0600,67.3510,56.9900,66.4200,49.0107,105173300
2013-10-31,66.8200,73.4900,63.4900,70.2200,51.8147,108764700
2013-11-29,70.9500,72.7900,68.1900,71.6800,52.8920,73355300
2013-12-31,71.7000,79.2500,71.1400,78.8700,58.4584,83361600
2014-01-31,78.6300,82.4800,72.6900,76.5200,56.7166,112509500
2014-02-28,76.6000,85.8600,69.1500,85.2500,63.1873,95838100
2014-03-31,83.2300,88.2800,74.7100,80.7800,60.2399,96424300
2014-04-30,84.0300,84.2400,71.0900,79.1300,59.0095,142019400
2014-05-30,78.9300,81.2500,71.7100,76.5200,57.0631,116450300
2014-06-30,76.9200,77.9400,71.1000,76.2200,57.2226,101216200
2014-07-31,77.3100,78.5000,71.9240,73.8500,55.4433,87927300
2014-08-29,73.5100,74.2800,65.8300,66.5100,49.9328,95064908
2014-09-30,65.0900,65.1500,59.0800,62.2100,47.0697,163551604
2014-10-31,60.9800,65.8300,57.9400,62.2600,47.1075,155810831
2014-11-28,62.2600,65.3500,57.6500,63.6900,48.1895,103572998
2014-12-31,62.6000,63.4700,49.8200,58.1600,44.4213,140877032
2015-01-30,57.9000,58.5500,52.2800,54.3700,41.5266,122216513
2015-02-27,54.3700,61.5900,53.2500,56.9000,43.4589,108859881
2015-03-31,56.6500,58.2700,51.2400,55.0400,42.5247,123364169
2015-04-30,55.2800,59.9000,52.0100,52.8800,40.8559,122191449
2015-05-29,53.2900,54.7270,49.5700,50.8300,39.2720,92792872
2015-06-30,50.1800,55.3600,49.6800,52.5700,41.1020,115913509
2015-07-31,54.4100,57.7700,53.0000,56.0400,43.8150,135137770
2015-08-31,55.8400,57.4800,40.0000,46.2300,36.1451,112627130
2015-09-30,45.1200,49.3500,37.4000,37.9700,30.1133,122819944
2015-10-30,38.3700,50.5000,36.5300,49.5100,39.2655,170608528
2015-11-30,49.7500,52.1400,43.6500,44.0600,34.9432,93347911
2015-12-31,44.5000,46.2200,40.2150,43.8400,35.3129,104417909
2016-01-29,42.8000,45.1100,34.8800,45.1000,36.3278,136046801
2016-02-29,44.7800,48.5900,39.0200,48.2800,38.8893,108752465
2016-03-31,49.0200,54.8000,48.7500,51.6800,42.1869,112392007
2016-04-29,50.8700,53.3100,44.9600,45.1500,36.8564,114349473
2016-05-31,46.4300,47.3900,44.0700,46.2400,37.7462,69930952
2016-06-30,45.0800,48.1900,41.4500,43.4900,36.0782,85209393
2016-07-29,43.6000,51.2300,42.2900,50.6500,42.0180,82606548
2016-08-31,50.5200,53.0000,49.0900,50.2100,41.6529,76463488
2016-09-30,51.9700,58.6500,51.8800,57.5400,48.3444,97179015
2016-10-31,59.1000,60.0000,56.4000,57.8800,48.6301,64285103
2016-11-30,58.4800,63.3800,56.1400,62.6700,52.6545,91389097
2016-12-30,62.5600,62.8001,53.0700,53.4100,45.4651,130789951
2017-01-31,53.6200,57.4600,51.9000,52.5800,44.7585,94766330
2017-02-28,52.1900,54.2561,51.3500,52.9500,45.0735,61777443
2017-03-31,54.6500,57.9200,53.0800,57.0700,49.2148,83194821
2017-04-28,57.9800,59.8500,55.1800,58.9900,50.8706,72771986
2017-05-31,59.2800,59.8500,56.3300,59.1300,50.9913,71022613
2017-06-30,59.5600,66.2200,59.5500,63.8900,55.7185,73877984
2017-07-31,63.3000,63.4600,59.7000,61.6100,53.7301,63224127
2017-08-31,60.7400,62.2700,59.1600,62.2100,54.2534,58034100
