Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,46.7500,50.7500,43.0900,50.5600,15.4083,24420600
2000-01-31,50.2500,53.8800,41.0000,41.6300,12.6869,27338100
2000-02-29,41.6300,43.3100,31.6300,36.6900,11.1814,27313000
2000-03-31,38.3800,44.7500,32.8800,42.2500,12.8758,25325800
2000-04-28,41.6300,43.8800,33.8100,34.0000,10.3616,22403500
2000-05-31,34.2500,40.8800,33.4400,38.5000,11.7330,26751300
2000-06-30,38.5600,39.9400,33.7300,33.7500,10.2854,23095000
2000-07-31,33.8100,35.6300,21.0000,24.0600,7.3323,58214100
2000-08-31,24.5000,28.9400,23.8100,27.6400,8.4234,36349500
2000-09-29,27.8800,30.1300,25.6900,26.1300,7.9632,32325300
2000-10-31,26.2500,33.1300,25.5600,32.5600,9.9227,38367600
2000-11-30,32.5000,35.3100,29.7500,30.5000,9.2950,25456400
2000-12-29,30.7500,36.5000,28.3100,35.0000,10.6663,30519800
2001-01-31,35.0000,46.0600,33.5000,44.5600,13.5798,44002900
2001-02-28,44.6000,49.0000,40.7500,48.3500,14.7348,36870300
2001-03-30,47.5000,49.9000,40.3500,41.5500,12.6625,48194900
2001-04-30,40.6000,45.5000,38.4300,42.9800,13.0983,35994100
2001-05-31,43.0000,48.4500,41.2600,44.8000,13.6529,26177200
2001-06-29,44.9000,45.8000,40.5800,42.5000,12.9520,30135800
2001-07-31,42.0000,42.5100,35.7800,38.6000,11.7635,37395300
2001-08-31,38.8500,40.0900,36.1000,36.3100,11.0656,25097200
2001-09-28,36.7500,37.6000,26.0500,28.2000,8.5940,36426400
2001-10-31,28.0900,33.0500,27.5400,31.9900,9.7490,38551200
2001-11-30,31.8000,39.1900,31.5000,37.0000,11.2758,32073600
2001-12-31,36.9900,42.0100,35.9500,40.9000,12.4644,28119400
2002-01-31,41.0000,43.0500,39.8500,41.6200,12.6838,29937600
2002-02-28,41.6000,42.9000,37.2600,41.9100,12.7722,24031300
2002-03-28,42.9600,44.2600,40.4700,40.8500,12.4491,26064800
2002-04-30,39.7700,42.3500,36.8300,39.7300,12.1078,35051300
2002-05-31,39.8500,44.1000,38.3900,41.4100,12.6198,23419100
2002-06-28,41.6500,42.6000,38.0500,39.7000,12.0987,24107700
2002-07-31,39.0000,41.0000,31.3900,37.6100,11.4617,43340500
2002-08-30,37.6100,37.7000,32.4500,35.9000,10.9406,35130000
2002-09-30,35.9000,38.1300,29.2000,29.4400,8.9719,30525800
2002-10-31,29.6500,33.0500,23.5900,30.7000,9.3559,46701600
2002-11-29,30.4500,33.5500,29.0800,32.6800,9.9593,31472800
2002-12-31,33.5000,34.7500,27.0500,28.7600,8.7647,33287800
2003-01-31,29.1000,31.2500,25.5500,26.0200,7.9297,39542100
2003-02-28,26.0300,26.8800,23.5100,25.5000,7.7712,30426400
2003-03-31,25.7000,29.7700,23.9600,28.0200,8.5392,37266100
2003-04-30,27.9700,30.9100,27.1500,30.6200,9.3315,38443100
2003-05-30,30.5400,33.4000,29.6100,32.5000,9.9045,41840800
2003-06-30,32.8700,38.0000,32.7000,36.8500,11.2685,39353400
2003-07-31,36.8500,40.9000,36.0100,40.0100,12.2348,36781300
2003-08-29,40.0000,43.9500,38.5000,43.7000,13.3632,41423300
2003-09-30,43.8500,45.3800,41.0000,41.9000,12.8503,42862800
2003-10-31,41.9000,47.9300,41.8900,47.5500,14.5831,38611200
2003-11-28,47.5200,50.6000,46.4700,49.0900,15.0554,31286500
