Date,Open,High,Low,Close,Adj Close,Volume
2002-06-28,15.1200,17.2500,11.7900,13.9900,0.9993,5299300
2002-07-31,14.0000,18.1900,11.9000,13.3500,0.9536,5257900
2002-08-30,13.3000,13.9900,9.8900,13.1100,0.9364,4634500
2002-09-30,13.1100,13.6700,9.6500,9.7000,0.6929,3982100
2002-10-31,9.9300,10.3000,4.8500,8.9710,0.6408,12082000
2002-11-29,8.8000,11.2000,7.7500,10.8500,0.7750,7283400
2002-12-31,10.4000,13.0000,9.5800,11.0100,0.7864,6792900
2003-01-31,11.8500,13.3900,10.6700,13.2000,0.9429,8285500
2003-02-28,13.1400,25.0500,11.5400,17.1100,1.2221,9227000
2003-03-31,16.9100,22.3300,14.9000,20.3500,1.4536,17380700
2003-04-30,20.5000,24.6900,18.5600,22.8000,1.6286,24040200
2003-05-30,22.6700,25.9300,20.5300,22.4500,1.6036,20235000
2003-06-30,22.5100,26.3500,18.0500,25.5500,1.8250,33954800
2003-07-31,25.6000,28.6000,22.5500,26.2000,1.8714,21423600
2003-08-29,25.9200,33.7800,22.6000,33.3300,2.3807,15232400
2003-09-30,33.2300,40.2400,30.4200,33.5600,2.3971,25657100
2003-10-31,33.6000,61.0000,33.4000,57.2200,4.0871,50825400
2003-11-28,57.3900,60.5500,44.1800,49.0000,3.5000,43416700
2003-12-31,49.4200,59.2300,43.0500,54.6900,3.9064,34323100
2004-01-30,57.5000,79.5400,53.7900,73.4100,5.2436,66594800
2004-02-27,74.2000,78.9500,30.2600,34.4000,4.9143,78973350
2004-03-31,34.3500,35.4600,27.6700,34.1200,4.8743,59636100
2004-04-30,36.1000,38.6200,25.1700,25.3600,3.6229,68996700
2004-05-28,25.3000,33.2700,25.2900,32.9200,4.7029,40773100
2004-06-30,32.2900,36.5700,28.3500,36.0000,5.1429,36971100
2004-07-30,35.7000,36.0700,18.5000,20.5000,2.9286,82650100
2004-08-31,19.8400,20.4000,13.8500,13.9500,1.9929,41519900
2004-09-30,14.0100,18.1000,13.8800,15.4200,2.2029,48839000
2004-10-29,17.4000,19.6000,9.2500,9.4700,1.3529,137130100
2004-11-30,9.4750,12.2800,9.3500,11.3800,1.6257,57787800
2004-12-31,11.3500,13.8200,11.0500,12.3300,1.7614,53211900
2005-01-31,12.4800,13.1200,10.5300,11.5000,1.6429,39397500
