Date,Open,High,Low,Close,Adj Close,Volume
2015-11-30,50.8600,55.0000,44.6500,46.3500,44.1714,17159431
2015-12-31,46.5000,50.3900,46.0000,48.0000,45.7439,11531805
2016-01-29,47.2900,48.7300,38.3600,39.7700,37.9007,38032037
2016-02-29,38.9200,40.1500,31.6600,37.9800,36.1948,32450663
2016-03-31,38.7800,43.0600,38.4250,41.7000,39.7400,10084815
2016-04-29,40.7300,46.1200,40.0500,45.8500,43.6949,11841727
2016-05-31,46.5000,46.5500,40.0500,42.4300,40.8995,10554413
2016-06-30,42.3500,44.4300,38.7100,40.9300,39.4536,12163044
2016-07-29,41.7100,45.1800,38.8000,45.1700,43.5407,8438994
2016-08-31,45.0300,49.1100,44.8500,48.1400,46.4035,12992766
2016-09-30,48.2700,52.1800,46.3900,51.8700,49.9990,8370453
2016-10-31,51.9200,54.3300,51.7500,52.7700,50.8665,8237946
2016-11-30,53.0900,54.9900,50.3900,54.1200,52.1678,11008370
2016-12-30,54.0100,58.8600,53.9400,58.1400,56.0428,9339397
2017-01-31,59.1600,62.9200,57.5600,62.1300,59.8889,8477997
2017-02-28,62.5000,66.7400,61.6700,65.0600,62.7132,7909732
2017-03-31,65.6000,74.9900,64.9400,74.3600,71.6778,10820927
2017-04-28,74.6000,75.8200,69.5900,75.2000,73.1151,9065476
2017-05-31,75.6500,86.7400,75.1000,86.7200,84.3157,14421905
2017-06-30,87.1900,91.9400,85.2300,86.0200,83.6351,10913782
2017-07-31,86.3400,107.0000,84.3800,105.1900,102.2736,18276260
2017-08-31,108.7800,116.3800,103.1700,114.4900,111.3158,18637759
2017-09-29,114.9200,118.1000,107.3100,110.4800,107.4170,13861383
2017-10-31,110.7600,120.3600,110.7600,119.6800,116.3619,10521611
2017-11-30,121.0000,121.1400,107.4160,108.6000,105.5891,11368959
2017-12-29,107.6000,108.2100,103.8500,104.8400,101.9333,8896914
2018-01-31,104.1200,121.4600,103.6500,119.5000,116.1869,9667108
2018-02-28,123.9500,131.2000,117.2200,124.2100,120.7663,15526511
2018-03-29,124.2000,125.5200,118.3200,120.5200,117.1786,10001457
2018-04-30,119.6900,125.4400,116.5200,122.6800,120.1321,7108920
2018-05-31,122.6600,141.5600,121.1800,131.3500,128.6220,9424249
2018-06-29,133.6600,149.8500,131.4400,135.0100,132.2060,8859979
2018-07-31,132.7800,144.8300,129.9000,132.6200,129.8657,13959094
2018-08-31,134.7700,135.4000,116.5400,131.0900,128.3674,27003778
2018-09-28,130.0600,142.5200,125.2500,136.9100,134.0666,13349355
2018-10-31,139.6700,139.8100,111.7130,117.1100,114.6778,18865839
2018-11-30,120.0300,120.9490,102.3700,109.6000,107.3238,14511923
2018-12-31,111.8100,112.5000,93.8500,99.4400,97.3748,9316696
2019-01-31,98.1000,127.0700,96.6200,126.3000,123.6769,10020959
2019-02-28,126.0700,129.7280,122.7800,128.2600,125.5962,7215469
2019-03-29,130.2900,134.7400,126.8200,133.8000,131.0212,6487964
2019-04-30,135.7400,140.9600,134.1550,136.0300,134.3158,7753037
2019-05-31,136.1400,145.1300,129.4600,143.0200,141.2178,13344622
2019-06-28,142.0100,163.6400,140.9500,161.4200,159.3859,8178801
2019-07-31,162.5700,170.5400,159.7300,161.0800,159.0502,7510381
2019-08-30,162.6800,165.5400,152.9200,157.7500,155.7621,9509811
2019-09-30,158.7100,164.4800,147.6700,154.0900,152.1483,10679680
2019-10-31,154.0700,161.1840,145.4400,160.1200,158.1023,7913968
2019-11-29,160.5300,172.8900,160.5300,168.2700,166.1496,6840818
2019-12-31,167.1900,170.2750,163.2300,165.5400,163.4540,4854094
2020-01-31,167.0500,175.4000,164.7600,168.8200,166.6926,7502812
2020-02-28,168.6600,180.9500,152.5100,157.7500,155.7621,11755053
2020-03-31,156.3600,163.5800,127.7300,152.5700,150.6474,19297362
2020-04-30,152.7200,163.3900,134.2400,155.6200,154.8617,7858976
2020-05-29,153.6900,170.0800,147.0800,168.7100,167.8880,5259151
2020-06-30,168.4800,176.9800,164.2300,171.0100,170.1768,4852262
2020-07-31,169.6600,185.3599,168.7900,181.7000,180.8147,3955546
2020-08-31,181.5600,199.9700,180.3400,194.7500,193.8011,4272327
2020-09-30,194.2300,197.5500,178.9400,184.0900,183.1930,3634006
2020-10-30,184.4900,194.3700,176.0300,178.4200,177.5507,5701474
2020-11-30,180.7000,215.4800,180.6900,211.1100,210.0814,6627410
2020-12-31,212.5900,233.6600,209.4700,229.5200,228.4017,5563194
2021-01-29,231.6600,232.3100,203.8000,208.1800,207.1656,6931836
2021-02-26,212.4900,217.7200,192.1807,197.3800,196.4183,7922018
2021-03-31,195.0000,210.3700,183.8200,209.2800,208.2603,8697098
2021-04-30,209.9800,219.6900,206.5400,213.3900,213.3900,6858901
2021-05-28,219.3700,220.9600,195.3400,210.9100,210.9100,6199575
2021-06-30,213.2100,221.4555,197.3300,206.0500,206.0500,6268649
2021-07-30,204.8100,219.4500,201.9300,218.2900,218.2900,4976994
2021-08-10,216.8400,222.9350,208.0300,221.2000,221.2000,2206689
