Date,Open,High,Low,Close,Adj Close,Volume
2006-05-31,141.0000,152.5000,121.6800,126.2800,12.6280,19970500
2006-06-30,118.5000,123.8000,95.4900,111.3900,11.1390,12738900
2006-07-31,113.1900,126.3000,104.7000,114.1500,11.4150,6669300
2006-08-31,114.1400,129.1700,114.0000,129.0800,12.9080,7008300
2006-09-29,128.2500,132.2499,104.6138,114.5100,11.4510,9874200
2006-10-31,116.3000,122.7000,105.4100,122.6800,12.2680,7559000
2006-11-30,124.8300,139.6800,122.8900,139.6800,13.9680,9095400
2006-12-29,139.3500,141.7000,122.5900,128.6400,12.8640,11550000
2007-01-31,129.9600,139.6600,120.0500,135.1600,13.5160,7952600
2007-02-28,136.9900,147.0000,131.4800,141.2500,14.1250,8067805
2007-03-30,141.3000,141.5000,123.5600,133.5200,13.3520,12022100
2007-04-30,131.0000,141.0000,129.2100,133.3500,13.3350,9489600
2007-05-31,131.8800,135.3500,126.1800,133.8300,13.3830,8574200
2007-06-29,135.1100,137.3700,120.8700,123.5000,12.3500,10254700
2007-07-31,124.9600,137.5500,123.5000,128.0200,12.8020,6851600
2007-08-31,128.6600,131.1900,110.0000,119.9800,11.9980,9385000
2007-09-28,120.1200,137.7190,119.6500,136.5500,13.6550,8176200
2007-10-31,136.1000,144.4400,129.6800,143.6000,14.3600,8700700
2007-11-30,140.1900,157.2000,137.0000,139.0000,13.9000,15059621
2007-12-31,139.4500,147.6500,135.8800,146.9700,14.6970,6294753
2008-01-31,148.5600,169.0400,148.5600,168.1800,16.8180,15610700
2008-02-29,170.2900,197.1900,161.1000,196.6800,19.6680,16111600
2008-03-31,199.8100,207.3000,165.1400,170.4100,17.0410,34404309
2008-04-30,164.5700,183.9000,161.7100,167.2000,16.7200,21492776
2008-05-30,162.1900,181.1300,158.4000,166.7300,16.6730,17367920
2008-06-30,164.8200,174.9290,161.3500,172.6300,17.2630,13332855
2008-07-31,177.3200,191.6900,16.6300,17.5300,17.5300,36651427
2008-08-29,17.2600,17.5460,12.6100,13.3700,13.3700,142521471
2008-09-30,12.4600,13.6200,10.1500,11.8500,11.8500,215339245
2008-10-31,12.1600,12.8300,8.4500,9.5800,9.5800,173017616
2008-11-28,9.7100,10.6700,8.6900,10.2300,10.2300,81620232
2008-12-31,9.2700,11.4800,9.0200,11.2000,11.2000,108927169
2009-01-30,11.0700,12.5300,10.2000,12.5200,12.5200,169141491
2009-02-27,12.2800,14.4500,12.0200,12.8800,12.8800,273049688
2009-03-31,12.9900,13.7300,11.7500,12.7900,12.7900,267259179
2009-04-30,12.9200,13.0000,11.6400,12.2100,12.2100,147307609
2009-05-29,12.1400,15.4800,12.1000,15.4700,15.4700,176333035
2009-06-30,15.5900,15.7800,13.2700,13.3800,13.3800,238790017
2009-07-31,13.5800,13.8800,12.2700,13.7000,13.7000,153800147
2009-08-31,14.1700,14.8000,13.3300,14.6200,14.6200,158943587
2009-09-30,14.5700,17.2600,14.4500,16.3800,16.3800,245954158
2009-10-30,16.3900,17.6400,15.7800,16.0700,16.0700,223374281
2009-11-30,16.1800,18.6100,16.0000,18.1500,18.1500,264439218
2009-12-31,18.5100,19.1100,16.4500,16.5390,16.5390,290068745
2010-01-29,17.0500,18.4500,15.7000,15.9000,15.9000,263771621
2010-02-26,16.0200,16.4700,14.3700,16.0700,16.0700,255645266
2010-03-31,16.2300,17.3100,16.1000,17.1400,17.1400,204842528
2010-04-30,17.5800,18.4000,17.2500,18.2600,18.2600,177791107
2010-05-28,18.4100,19.4400,16.7300,18.0300,18.0300,313720636
2010-06-30,18.1700,18.9400,16.9400,18.2100,18.2100,178584184
2010-07-30,18.0600,18.1000,17.0600,17.5800,17.5800,156331068
2010-08-31,18.0200,19.0000,17.4300,18.9300,18.9300,152947919
2010-09-30,18.9600,21.5700,18.8800,21.3100,21.3100,237658575
