Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,139.3125,147.5625,139.0000,146.8750,98.4110,121529300
2000-01-31,148.2500,148.2500,135.0000,139.5625,93.5114,156770800
2000-02-29,139.7500,144.5625,132.7187,137.4375,92.0876,186938300
2000-03-31,137.6250,155.7500,135.0312,150.3750,101.0104,247594900
2000-04-28,150.1250,153.1093,133.5000,145.0937,97.4628,229246200
2000-05-31,146.5625,148.4843,136.5000,142.8125,95.9305,161024000
2000-06-30,143.6875,149.1562,143.0000,145.2812,97.8207,127146000
2000-07-31,145.4375,151.9843,141.5156,143.0000,96.2847,106780100
2000-08-31,143.6250,153.0937,142.6250,152.3437,102.5760,102365500
2000-09-29,153.2500,153.5937,142.1250,143.6250,96.9541,113203000
2000-10-31,144.2812,145.7500,130.1562,142.9531,96.5006,178392400
2000-11-30,142.2500,144.2968,129.7500,132.2812,89.2965,156699900
2000-12-29,133.1875,139.5625,125.5312,131.1875,88.8363,165416700
2001-01-31,132.0000,138.7000,127.5625,137.0200,92.7859,181296400
2001-02-28,137.1000,137.9900,121.8000,123.9500,83.9353,178607000
2001-03-30,124.0500,127.7500,108.0400,116.6900,79.2358,318187200
2001-04-30,116.3000,127.2700,109.3000,126.6600,86.0057,251839700
2001-05-31,125.0700,132.0900,123.4400,125.9500,85.5236,208040000
2001-06-29,126.2000,129.2300,120.4000,122.6000,83.4856,203578200
2001-07-31,122.8000,124.3200,116.7500,121.3500,82.6344,196892900
2001-08-31,121.9700,123.2500,112.0400,114.1500,77.7315,269599600
2001-09-28,113.8500,116.1700,93.8000,104.4400,71.3891,419156100
2001-10-31,103.9000,111.7900,102.8300,105.8000,72.3187,512612000
2001-11-30,106.6000,116.9000,105.7000,114.0500,77.9580,372515000
2001-12-31,113.6500,118.0000,112.0000,114.3000,78.3958,308403900
2002-01-31,115.1100,117.9900,108.4000,113.1800,77.6276,349380000
2002-02-28,113.0900,113.3000,107.8200,111.1500,76.2353,424492600
2002-03-28,111.7200,117.9000,111.5100,114.5200,78.7696,385578100
2002-04-30,114.2300,115.1000,106.6300,107.8600,74.1887,404461000
2002-05-31,107.9700,111.2500,104.9000,107.2200,73.7485,452626500
2002-06-28,107.0900,107.6000,95.1900,98.9600,68.3093,534883500
2002-07-31,99.1800,99.8000,77.6800,91.1600,62.9252,1124248800
2002-08-30,90.8800,97.1500,83.5500,91.7800,63.3531,936191200
2002-09-30,90.7300,93.3300,80.9000,81.7900,56.7104,1013828600
2002-10-31,82.4300,91.2900,77.0700,88.5200,61.3768,1344248100
2002-11-29,88.3500,94.9500,87.4500,93.9800,65.1625,818243400
2002-12-31,95.4700,96.0500,87.1100,88.2300,61.4720,728285900
2003-01-31,88.8500,93.8600,84.1500,86.0600,59.9601,911319900
2003-02-28,86.1400,86.8100,81.0000,84.9000,59.1519,862248300
2003-03-31,85.2600,89.8800,79.3800,84.7400,59.2737,1156870200
2003-04-30,85.2500,92.8000,84.9100,91.9100,64.2890,996114200
2003-05-30,91.9200,97.0900,90.5000,96.9500,67.8144,881509900
2003-06-30,97.5300,102.1800,96.6700,97.6300,68.5374,867970200
2003-07-31,97.2500,101.9000,96.4300,99.3900,69.7729,895260500
2003-08-29,99.1900,101.8200,96.3400,101.4400,71.2121,772702000
2003-09-30,101.6400,104.7000,99.2500,99.9500,70.4368,818513400
2003-10-31,100.2400,105.9700,100.2000,105.3000,74.2071,831700900
2003-11-28,105.7500,106.9500,103.6200,106.4500,75.0175,630654200
2003-12-31,106.8500,111.5200,105.9600,111.2800,78.7926,678350400
2004-01-30,111.7400,116.5000,110.7300,113.4800,80.3503,737674000
2004-02-27,113.7000,116.6000,112.7800,115.0200,81.4407,676976900
