Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,76.9400,89.7500,40.2500,41.6200,56.8582,22665600
2000-01-31,43.5600,51.5000,32.0000,33.5000,45.7652,18736600
2000-02-29,33.5600,39.8100,26.0000,28.3100,38.6750,26945600
2000-03-31,28.3100,35.0000,18.0000,19.3100,26.3799,32281600
2000-04-28,19.4400,19.4400,10.0000,16.0000,21.8580,20757400
2000-05-31,16.2500,16.3800,8.5000,10.0000,13.6613,12992800
2000-06-30,10.0000,12.5000,7.1900,7.3100,9.9864,16972200
2000-07-31,7.5300,7.7500,4.2800,5.0000,6.8306,20630600
2000-08-31,4.9400,7.3800,3.5000,6.5600,8.9618,20225800
2000-09-29,6.7800,8.5600,3.7800,3.8400,5.2459,12974400
2000-10-31,4.0000,4.0000,2.3100,3.9400,5.3825,22941200
2000-11-30,3.6100,3.6900,2.5000,2.6200,3.5792,9433600
2000-12-29,2.5800,3.0600,2.2200,2.7800,3.7978,13045800
2001-01-31,2.7500,4.0630,2.3130,3.9060,5.3361,13444200
2001-02-28,3.9690,4.0000,2.6250,2.9690,4.0560,7373200
2001-03-30,2.9380,3.0310,2.2500,3.0000,4.0984,6261200
2001-04-30,2.9530,3.1700,2.6800,3.0000,4.0984,9790600
2001-05-31,3.0000,3.3700,2.8200,3.0000,4.0984,4502200
2001-06-29,3.0000,4.0000,2.9500,3.7500,5.1230,6074800
2001-07-31,3.6900,3.7500,2.3000,2.3600,3.2241,14578000
2001-08-31,2.3700,2.5200,2.1900,2.4200,3.3060,8053600
2001-09-28,2.3800,2.5200,2.1000,2.4900,3.4017,6334800
2001-10-31,2.3500,3.0900,2.1600,3.0300,4.1394,15607000
2001-11-30,3.0300,3.1500,2.5400,3.0800,4.2077,9333400
2001-12-31,3.1400,4.0000,2.9500,3.5800,4.8907,7144400
2002-01-31,3.6600,4.6000,3.5400,4.1300,5.6421,14020000
2002-02-28,4.2000,4.2000,3.5300,3.9200,5.3552,2567000
2002-03-28,3.9400,4.5500,3.8000,4.4700,6.1066,3951000
2002-04-30,4.5100,4.9000,4.1510,4.5500,6.2159,5363200
2002-05-31,4.5400,5.2200,4.3900,4.5600,6.2295,5119200
2002-06-28,4.6100,4.7300,4.0000,4.4300,6.0519,3000600
2002-07-31,4.3100,4.7200,3.6000,4.5600,6.2295,4434600
2002-08-30,4.5300,4.6000,4.0100,4.4000,6.0110,2221800
2002-09-30,4.3500,4.4300,3.9800,4.2300,5.7787,2911400
2002-10-31,4.2500,4.7700,3.8000,4.3000,5.8743,6265600
2002-11-29,4.2900,4.4600,4.1100,4.4000,6.0110,3758600
2002-12-31,4.4000,4.9000,4.2500,4.6700,6.3798,3398600
2003-01-31,4.6700,4.6800,4.1000,4.4300,6.0519,1263000
2003-02-28,4.3700,4.5400,3.9000,4.1500,5.6694,1762800
2003-03-31,4.2000,4.2500,3.9200,4.1900,5.7241,1968400
2003-04-30,4.1900,4.5900,4.0600,4.4100,6.0246,2138000
2003-05-30,4.3300,5.7100,4.2000,5.1000,6.9672,3125400
2003-06-30,5.0100,5.4000,4.7000,4.8000,6.5574,5945200
2003-07-31,4.7400,5.6000,4.5300,5.2100,7.1175,2814800
2003-08-29,5.2100,5.3000,4.9100,5.0900,6.9536,1865000
2003-09-30,5.1300,6.1000,5.0800,5.8300,7.9645,5154800
2003-10-31,5.8400,6.6000,5.6400,6.0000,8.1968,2389400
2003-11-28,6.0700,6.2690,5.2600,6.2500,8.5383,3407200
2003-12-31,6.2700,6.4400,5.4500,6.2000,8.4700,4372000
2004-01-30,6.2100,7.8700,6.1100,7.5100,10.2596,9931600
2004-02-27,7.6100,8.3500,5.6200,5.6800,9.8914,6520000
2004-03-31,5.7800,6.1900,5.2400,5.9900,10.4312,4183000
2004-04-30,5.9900,7.4400,5.8800,6.8200,11.8766,5134600
2004-05-28,6.5300,13.7900,6.0700,13.2100,11.5022,2216700
2004-06-30,13.1000,13.2900,10.1300,10.1900,8.8726,2466600
2004-07-30,10.1000,10.5000,8.9600,10.4600,9.1077,2986700
2004-08-31,10.1900,15.0000,8.9400,14.9200,12.9911,10598000
2004-09-30,14.9800,17.7500,12.0000,13.3000,11.5805,17240000
2004-10-29,13.2500,15.0300,12.4300,13.8800,12.0856,5628000
2004-11-30,13.6800,16.5000,13.3600,15.4700,13.4700,5375900
2004-12-31,15.1300,16.2500,14.4300,15.8400,13.7922,3810100
2005-01-31,15.9000,15.9000,11.9600,12.8900,11.2235,3433500
2005-02-28,13.0100,18.5500,12.2900,18.2690,15.9071,8297200
2005-03-31,18.3700,18.9300,15.2900,16.6000,14.4539,4388300
2005-04-29,16.7900,20.3500,15.0500,19.3300,16.8310,7423700
2005-05-31,19.4000,22.8800,19.0000,22.3600,19.4692,12123100
2005-06-30,22.5600,23.3700,17.7800,18.7500,16.3260,6902700
2005-07-29,18.6600,19.7800,16.9200,17.9200,15.6033,5577200
2005-08-31,18.0000,19.6200,16.9500,17.3500,15.1069,4444800
2005-09-30,17.3000,18.0900,15.6400,17.2100,14.9850,3782400
2005-10-31,17.3500,20.4000,15.9000,20.1600,17.5537,4717300
2005-11-30,20.1800,24.2200,20.0000,23.4500,20.4183,6353200
2005-12-30,23.6400,24.6000,21.8300,22.9600,19.9917,5447700
2006-01-31,23.0500,28.6100,22.2000,28.5100,24.8242,6942000
2006-02-28,28.0000,33.1600,24.8100,32.2100,28.0458,9221300
2006-03-31,31.8000,35.9700,31.3300,35.2600,30.7015,5571100
2006-04-28,34.8200,39.2400,27.3936,28.2000,24.5542,7979000
2006-05-31,28.2000,32.6300,28.2000,29.9900,26.1128,6492200
2006-06-30,31.5000,33.9900,26.2600,27.8200,24.2234,9492200
2006-07-31,27.8700,28.0400,18.2000,20.3900,17.7539,10482000
2006-08-31,20.3500,21.1500,18.7600,19.0400,16.5785,4975600
2006-09-29,19.1600,20.8800,17.9800,19.0600,16.5959,3996300
2006-10-31,19.0000,20.3100,14.7700,16.0500,13.9750,12062700
2006-11-30,16.1000,16.4000,15.1700,15.6100,13.5919,4472800
2006-12-29,15.5200,16.1200,14.5600,15.7500,13.7138,4105900
2007-01-31,15.9200,16.0900,13.8000,14.6300,12.7386,4229800
2007-02-28,14.7000,17.6000,14.1800,15.5100,13.5048,6686500
2007-03-30,15.3800,15.5300,13.8900,14.3700,12.5122,4214300
2007-04-30,14.3500,15.5000,12.7000,14.1100,12.2858,10265500
2007-05-31,14.0900,14.3200,13.2900,13.6500,11.8853,5077100
2007-06-29,13.6900,14.5300,13.4500,13.7800,11.9985,4167100
2007-07-31,13.8400,14.3500,11.2700,11.4500,9.9697,6547600
2007-08-31,11.4300,13.3700,11.2800,12.1400,10.5705,6368600
2007-09-28,12.1000,12.1900,11.5800,11.9700,10.4225,2002400
2007-10-31,11.9900,13.8800,11.7500,13.8800,12.0856,3083400
2007-11-30,13.7600,13.8100,11.9100,12.7000,11.0581,3129000
2007-12-31,12.7500,13.2300,11.5600,12.1800,10.6053,3225200
2008-01-31,12.1300,12.3000,8.4700,10.5600,9.1948,2886500
2008-02-29,10.6100,11.4200,8.5000,8.8500,7.7059,3393400
2008-03-31,8.8400,10.5400,8.7500,10.2600,8.9336,3547000
2008-04-30,10.4500,13.9799,10.3500,13.7100,11.9375,2697400
2008-05-30,13.7200,15.0000,13.1200,14.6000,12.7125,3108700
2008-06-30,14.5400,15.8200,12.4800,12.4800,10.8666,3172900
2008-07-31,12.3600,14.1200,11.8800,13.6100,11.8505,4143400
2008-08-29,13.6600,14.2800,13.0100,13.7300,11.9550,2175500
2008-09-30,13.8900,15.2200,11.3000,11.6700,10.1613,4200400
2008-10-31,11.5000,12.4600,9.1400,9.7600,8.4982,5955600
2008-11-28,9.8000,10.1200,7.1400,8.8600,7.7146,2892900
2008-12-31,8.6700,10.1400,8.0500,9.8300,8.5592,3296400
2009-01-30,9.7800,10.0700,7.6500,8.1800,7.1225,1791600
2009-02-27,8.1300,9.8300,7.8500,8.3200,7.2444,1924900
2009-03-31,8.1800,10.1600,7.7700,9.7000,8.4460,2060900
2009-04-30,9.6000,10.4300,7.8100,9.3600,8.1499,2048900
2009-05-29,9.5300,9.9500,8.3000,8.8800,7.7320,1915000
2009-06-30,9.0000,9.4400,8.1700,8.4800,7.3837,1804100
2009-07-31,8.5600,10.1800,8.1900,8.6300,7.5143,1486900
2009-08-31,8.6500,9.1500,8.0500,8.6200,7.5056,1551400
2009-09-30,8.5700,9.7400,8.4700,9.2500,8.0541,1166100
2009-10-30,9.2600,10.3500,8.9000,10.0400,8.7420,864900
2009-11-30,10.0400,10.3600,8.8900,8.9100,7.7581,1042700
2009-12-31,9.0000,9.5100,8.6800,9.0000,7.8365,821300
2010-01-29,9.1000,9.2500,8.8100,8.8400,7.6971,858700
2010-02-26,8.8800,9.3700,8.8100,9.0600,7.8887,1155300
2010-03-31,9.0900,10.5900,9.0400,10.1000,8.7942,1060300
2010-04-30,10.1200,11.1800,9.9000,10.6000,9.2296,1467800
2010-05-28,10.6900,11.0600,9.9060,10.4800,9.1251,1349200
2010-06-30,10.3900,10.7800,10.0100,10.2500,8.9249,993400
2010-07-30,10.2500,10.9800,9.5450,10.9400,9.5256,698200
2010-08-31,10.9400,11.4900,10.4500,11.4400,9.9610,1200900
2010-09-30,11.5000,13.4800,11.5000,13.0000,11.3193,1205900
2010-10-29,13.1200,16.4500,12.8300,15.9400,13.8792,1176700
2010-11-30,16.0000,16.0000,12.2400,13.1600,13.1600,3203800
2010-12-31,13.3800,14.4100,12.4700,13.2500,13.2500,912600
2011-01-31,13.3700,13.9200,10.9500,12.7200,12.7200,1221700
2011-02-28,12.7800,15.1800,12.1801,13.4400,13.4400,1419000
2011-03-31,13.4700,13.6900,11.9200,13.3500,13.3500,1066400
2011-04-29,13.3900,13.8600,12.1800,13.5200,13.5200,796500
2011-05-31,13.5300,13.6100,12.0800,12.4400,12.4400,1510600
2011-06-30,12.4400,13.3700,11.6400,13.3400,13.3400,1409000
2011-07-29,13.3500,16.7500,13.1100,16.7500,16.7500,1205300
2011-08-31,17.0100,19.9500,14.7300,19.6400,19.6400,5276200
2011-09-30,19.6400,25.2400,18.0210,20.4400,20.4400,9616400
2011-10-31,20.2100,33.7300,18.6000,32.5600,32.5600,10584200
