Date,Open,High,Low,Close,Adj Close,Volume
2008-06-30,72.5000,75.0000,68.2400,68.5700,264.7733,3527600
2008-07-31,67.7800,72.2900,66.2600,69.0570,266.6538,4591600
2008-08-29,69.6000,71.4918,64.4000,65.4600,252.7645,3227200
2008-09-30,66.2200,69.9900,55.8600,62.2200,240.8757,6011600
2008-10-31,60.7000,64.9100,54.9300,64.3000,248.9281,7855200
2008-11-28,64.6700,64.9000,48.2000,48.4000,187.3735,15090000
2008-12-31,47.3300,47.3600,35.5100,37.7300,146.0662,78555600
2009-01-30,37.2600,48.1000,37.0600,47.8000,185.0507,132105200
2009-02-27,46.9000,49.8600,44.0100,48.1700,186.4831,101409200
2009-03-31,47.4000,48.7500,43.1200,43.6400,168.9459,130534000
2009-04-30,42.8200,50.1500,42.6500,49.3100,190.8965,82390000
2009-05-29,50.1900,57.4200,48.7500,52.6400,203.7881,122723200
2009-06-30,54.3800,59.7887,50.0300,50.9200,197.1293,183991200
2009-07-31,51.6600,54.9600,48.0100,49.4310,191.3649,135720000
2009-08-31,50.0800,53.9000,46.4300,46.5600,180.2502,135079600
2009-09-30,47.0700,49.1800,43.5600,44.0100,170.3783,111949200
2009-10-30,43.4800,48.0600,42.2400,45.6600,176.7660,134654000
2009-11-30,45.6000,48.6000,44.2600,44.2900,171.4623,89704800
2009-12-31,44.7800,51.1500,44.6000,49.8800,193.1031,108963600
2010-01-29,50.0700,51.2100,46.9300,47.0700,182.2246,115451200
2010-02-26,47.3200,50.5400,46.4800,47.0500,182.1472,123078400
2010-03-31,47.0500,50.0300,46.6300,48.6900,188.4962,143280400
2010-04-30,49.0900,50.6800,45.1400,45.1900,174.9465,197478400
2010-05-28,45.5500,45.6800,37.5500,40.2800,155.9381,300456000
2010-06-30,39.3000,41.0700,35.4500,35.4800,137.3556,182690800
2010-07-30,35.4200,37.7500,34.6200,35.8500,138.7880,164681200
2010-08-31,36.4800,36.9400,29.7700,30.0700,116.4116,245431200
2010-09-30,30.7400,34.3300,30.7000,31.2500,120.9798,213359600
2010-10-29,31.7700,34.8500,30.6200,33.9900,131.5873,211794000
2010-11-30,33.4900,38.2900,32.5100,34.7800,134.6457,328161600
2010-12-31,35.7700,40.5600,35.4300,37.0400,143.3950,394532400
2011-01-31,37.7200,39.8900,36.8600,39.0500,151.1764,319093600
2011-02-28,39.3800,41.5400,37.5600,37.6300,145.6791,308404000
2011-03-31,38.1200,39.6200,35.2600,37.4400,144.9435,272690400
2011-04-29,37.6900,39.1800,35.6100,35.6500,138.0138,211717200
2011-05-31,35.7500,35.8500,33.1100,33.1700,128.4128,162312000
2011-06-30,32.7700,35.1900,32.0300,34.5100,133.6004,244666400
2011-07-29,34.2600,34.8200,31.0400,31.4550,121.7734,241219200
2011-08-31,31.5500,31.5771,23.3500,25.4500,98.5260,473024000
2011-09-30,25.1500,25.8000,18.5500,19.4400,75.2591,237909200
2011-10-31,18.9900,23.0150,17.9905,20.6300,79.8660,222911200
2011-11-30,19.4600,20.6500,18.0100,19.5700,75.7624,177553600
2011-12-30,19.9901,20.1500,17.4800,18.0700,69.9554,171436000
2012-01-31,18.6000,19.7700,17.8900,18.0700,69.9554,158290000
2012-02-29,18.3000,19.9000,18.2700,18.8900,73.1299,162805600
2012-03-30,19.2300,21.5500,18.5900,20.4500,79.1692,267222400
2012-04-30,20.0800,20.9400,18.1800,18.5100,71.6588,172336000
2012-05-31,18.3700,18.8100,15.0800,15.4500,59.8124,186307600
2012-06-29,15.0800,16.1500,14.7100,15.8400,61.3222,158096800
2012-07-31,15.7200,15.7400,14.0800,14.6000,56.5218,128512800
2012-08-31,14.8000,16.7300,14.2900,14.8900,57.6445,177894800
2012-09-28,15.0000,17.2500,14.8300,15.5900,60.3544,142924800
2012-10-31,15.5600,66.3500,15.4200,62.5000,60.4899,118737700
2012-11-30,62.8600,64.3500,58.3600,60.5500,58.6026,53831800
2012-12-31,61.3500,65.1200,59.0700,63.4500,61.4094,55350000
