Date,Open,High,Low,Close,Adj Close,Volume
2010-07-30,25.0000,25.9200,14.9800,19.9400,3.9880,64575800
2010-08-31,20.5000,22.1800,17.3900,19.4800,3.8960,15038200
2010-09-30,19.6200,23.1600,19.5000,20.4050,4.0810,18045900
2010-10-29,20.6900,21.8700,20.0000,21.8400,4.3680,6547800
2010-11-30,21.9400,36.0000,21.0500,35.3300,7.0660,28315100
2010-12-31,35.8700,36.4200,25.0000,26.6300,5.3260,36892900
2011-01-31,26.8400,28.7100,22.3700,24.1000,4.8200,28420100
2011-02-28,24.3100,25.4900,21.1100,23.8900,4.7780,29303500
2011-03-31,24.0500,28.7100,21.7700,27.7500,5.5500,32563300
2011-04-29,27.4500,28.1800,24.2000,27.6000,5.5200,29894900
2011-05-31,27.6000,30.2800,25.5200,30.1400,6.0280,30348800
2011-06-30,30.0000,31.5000,25.5000,29.1300,5.8260,39727300
2011-07-29,29.0700,30.4400,26.6300,28.1700,5.6340,21102100
2011-08-31,28.6700,29.2000,21.5000,24.7400,4.9480,27215700
2011-09-30,24.6600,26.9900,22.2900,24.3900,4.8780,18021500
2011-10-31,24.9500,30.0000,22.9300,29.3700,5.8740,21662600
2011-11-30,28.3900,35.0000,28.0000,32.7400,6.5480,25846800
2011-12-30,32.5700,35.0000,26.0300,28.5600,5.7120,21128500
2012-01-31,28.9400,30.0000,22.6400,29.0700,5.8140,25609900
2012-02-29,29.0700,34.9700,29.0000,33.4100,6.6820,23193600
2012-03-30,33.5100,39.9500,32.6200,37.2400,7.4480,22163500
2012-04-30,37.3300,38.4696,31.0000,33.1300,6.6260,22752900
2012-05-31,33.1300,34.6800,26.8300,29.5000,5.9000,34185300
2012-06-29,28.5300,34.5000,27.1100,31.2900,6.2580,26127100
2012-07-31,31.3500,36.0000,27.2100,27.4200,5.4840,32543400
2012-08-31,27.9900,31.3000,25.5200,28.5200,5.7040,24482100
2012-09-28,28.5200,32.7800,27.2950,29.2800,5.8560,33295100
2012-10-31,29.5000,30.1000,26.8600,28.1314,5.6263,17620900
2012-11-30,28.2500,34.2900,28.2000,33.8200,6.7640,23760900
2012-12-31,33.8900,35.8000,32.7500,33.8700,6.7740,21714300
2013-01-31,35.0000,38.7100,32.1100,37.5100,7.5020,28464600
2013-02-28,38.1700,40.0000,33.8000,34.8300,6.9660,44256000
2013-03-28,35.0000,39.4900,34.2500,37.8900,7.5780,29655000
2013-04-30,42.3600,58.1800,40.2105,53.9900,10.7980,81548100
2013-05-31,55.9900,114.9000,53.0000,97.7600,19.5520,331220900
2013-06-28,97.6200,110.2500,88.2500,107.3600,21.4720,179114700
2013-07-31,109.3600,137.4900,104.5000,134.2800,26.8560,229528200
2013-08-30,135.0000,173.0000,132.3600,169.0000,33.8000,259266600
2013-09-30,173.4000,194.5000,158.5100,193.3700,38.6740,171210600
2013-10-31,193.9600,194.2300,153.0000,159.9400,31.9880,258454800
2013-11-29,163.0000,181.4300,116.1000,127.2800,25.4560,308388500
2013-12-31,126.3500,158.0000,123.9310,150.4290,30.0858,197637900
2014-01-31,149.8000,186.0000,136.6710,181.4100,36.2820,183932300
2014-02-28,182.8900,265.0000,169.3600,244.8100,48.9620,225954100
2014-03-31,237.2600,260.0000,203.0000,208.4500,41.6900,166685600
2014-04-30,209.0200,235.7300,184.3200,207.8900,41.5780,165207800
2014-05-30,207.0800,218.6596,177.2200,207.7700,41.5540,134810100
2014-06-30,207.3300,244.4900,199.2510,240.0600,48.0120,123238200
2014-07-31,242.4600,243.4400,213.6000,223.3000,44.6600,107871700
2014-08-29,226.0900,272.0000,226.0000,269.7000,53.9400,114710400
2014-09-30,275.5000,291.4200,240.1249,242.6800,48.5360,132773043
2014-10-31,242.2000,265.5400,217.3200,241.7000,48.3400,152148180
2014-11-28,243.0000,259.9900,228.5000,244.5200,48.9040,107731050
2014-12-31,241.1600,242.4700,192.6500,222.4100,44.4820,127100337
2015-01-30,222.8700,223.2500,185.0000,203.6000,40.7200,90121332
2015-02-27,203.9700,225.4800,193.2800,203.3400,40.6680,106717638
2015-03-31,202.7000,206.1900,181.4000,188.7700,37.7540,122990032
2015-04-30,188.7000,238.7500,186.0500,226.0500,45.2100,98945034
2015-05-29,229.9400,252.8677,220.2500,250.8000,50.1600,89127783
2015-06-30,251.4100,271.4100,245.6800,268.2600,53.6520,65473162
2015-07-31,271.1100,286.6500,250.7900,266.1500,53.2300,80060910
2015-08-31,266.2900,271.0000,195.0000,249.0600,49.8120,113858937
2015-09-30,240.3400,271.5700,236.9700,248.4000,49.6800,80218666
2015-10-30,247.5100,249.8400,202.0000,206.9300,41.3860,100854710
2015-11-30,208.9200,234.5843,205.8000,230.2600,46.0520,78487987
2015-12-31,231.0600,243.6340,214.8700,240.0100,48.0020,59852189
2016-01-29,230.7200,231.3800,182.4100,191.2000,38.2400,79247152
2016-02-29,188.7600,199.5200,141.0500,191.9300,38.3860,133705697
2016-03-31,194.2500,239.8800,181.5000,229.7700,45.9540,102729544
2016-04-29,244.8250,269.3400,233.2500,240.7600,48.1520,135507264
2016-05-31,241.5000,243.1900,203.6572,223.2300,44.6460,103313344
2016-06-30,221.4800,240.8450,187.8700,212.2800,42.4560,121687759
2016-07-29,206.1400,235.2800,206.0000,234.7900,46.9580,74068654
2016-08-31,235.5000,236.6300,208.6500,212.0100,42.4020,62291339
2016-09-30,209.0100,211.0999,193.4500,204.0300,40.8060,70644512
2016-10-31,212.3000,215.6688,192.0000,197.7300,39.5460,92133590
2016-11-30,198.0400,199.3500,178.1900,189.4000,37.8800,98886097
2016-12-30,188.2500,223.8000,180.0000,213.6900,42.7380,87993345
2017-01-31,214.8600,258.4600,210.9600,251.9300,50.3860,100683220
2017-02-28,253.0500,287.3900,242.0100,249.9900,49.9980,119540302
2017-03-31,254.1800,282.0000,242.7810,278.3000,55.6600,107048530
2017-04-28,286.9000,314.8000,284.5800,314.0700,62.8140,116249563
2017-05-31,314.8800,342.8900,290.7601,341.0100,68.2020,145440756
2017-06-30,344.0000,386.9900,334.2100,361.6100,72.3220,183792656
2017-07-31,370.2400,371.3500,303.1300,323.4700,64.6940,180152458
2017-08-31,323.0000,370.0000,311.2200,355.9000,71.1800,132597998
2017-09-29,356.1200,389.6100,335.4000,341.1000,68.2200,110777246
2017-10-31,342.5200,363.0000,316.6600,331.5300,66.3060,121524280
2017-11-30,332.2500,332.6089,292.6300,308.8500,61.7700,146788590
2017-12-29,305.4400,347.4400,300.0000,311.3500,62.2700,109085737
2018-01-31,312.0000,360.5000,305.6800,354.3100,70.8620,122930471
2018-02-28,351.0000,359.9900,294.7600,343.0600,68.6120,106577192
2018-03-29,345.0100,348.6700,248.2100,266.1300,53.2260,156356749
2018-04-30,256.2600,309.5000,244.5900,293.9000,58.7800,190271700
2018-05-31,293.5100,312.9900,273.4200,284.7300,56.9460,155530600
2018-06-29,285.8600,373.7300,283.8400,342.9500,68.5900,213254800
2018-07-31,360.0700,364.7800,286.1300,298.1400,59.6280,172317600
2018-08-31,297.9900,387.4600,288.2000,301.6600,60.3320,277266400
2018-09-28,296.9400,314.9600,252.2500,264.7700,52.9540,196047100
2018-10-31,305.7700,347.1600,247.7700,337.3200,67.4640,286360700
2018-11-30,338.2600,366.7500,325.0000,350.4800,70.0960,133015842
2018-12-31,360.0000,379.4900,294.0900,332.8000,66.5600,146411938
2019-01-31,306.1000,352.0000,279.2800,307.0200,61.4040,175652100
2019-02-28,305.4200,324.2400,288.7700,319.8800,63.9760,128487840
2019-03-29,306.9400,307.1300,254.4600,279.8600,55.9720,213714100
2019-04-30,282.6200,296.1700,231.1300,238.6900,47.7380,230730900
2019-05-31,238.8500,258.3500,184.1000,185.1600,37.0320,282585300
2019-06-28,185.5100,234.7400,176.9900,223.4600,44.6920,214910262
2019-07-31,230.2100,266.0700,222.2200,241.6100,48.3220,199367200
2019-08-30,242.6500,244.5100,211.0000,225.6100,45.1220,133899476
2019-09-30,224.0800,253.5000,218.3600,240.8700,48.1740,135775300
