Date,Open,High,Low,Close,Adj Close,Volume
2013-12-31,41.7900,74.7300,40.4000,63.6500,63.6500,575331100
2014-01-31,65.0000,70.4300,55.5900,64.5000,64.5000,423741500
2014-02-28,65.9200,67.2400,49.9900,54.9100,54.9100,347890100
2014-03-31,53.8900,56.0900,43.3100,46.6700,46.6700,194765500
2014-04-30,46.7100,47.5900,37.2400,38.9700,38.9700,289236600
2014-05-30,39.0100,40.7700,29.5100,32.4400,32.4400,739728500
2014-06-30,32.8900,42.0000,31.6200,40.9700,40.9700,655815500
2014-07-31,42.0600,48.0000,35.9500,45.1900,45.1900,663656400
2014-08-29,45.0100,50.3500,42.5100,49.7500,49.7500,457233200
2014-09-30,50.0200,53.6400,47.5600,51.5800,51.5800,532367453
2014-10-31,51.0800,55.9900,39.9400,41.4700,41.4700,732543252
2014-11-28,40.5500,43.9500,38.8100,41.7400,41.7400,446055214
2014-12-31,41.2900,41.2900,34.6200,35.8700,35.8700,366465943
2015-01-30,36.2300,40.9500,35.5401,37.5300,37.5300,380590823
2015-02-27,37.7000,50.0100,36.9200,48.0800,48.0800,509994629
2015-03-31,48.2600,51.8700,45.1300,50.0800,50.0800,378984469
2015-04-30,51.0000,53.4900,38.0700,38.9600,38.9600,536330962
2015-05-29,39.1900,39.2400,36.1000,36.6700,36.6700,372895346
2015-06-30,36.6900,37.7900,33.5100,36.2200,36.2200,495294559
2015-07-31,36.0500,38.8200,30.8500,31.0100,31.0100,495204356
2015-08-31,30.8500,31.0900,21.0100,27.7900,27.7900,480288035
2015-09-30,27.2300,29.0000,24.6000,26.9400,26.9400,321268811
2015-10-30,26.4700,31.8700,24.3400,28.4600,28.4600,692696750
2015-11-30,28.5400,30.1500,24.9000,25.4000,25.4000,293070156
2015-12-31,25.3900,26.2500,21.9900,23.1400,23.1400,397223729
2016-01-29,22.6400,23.0000,15.4800,16.8000,16.8000,463826915
2016-02-29,17.8900,18.9600,13.9100,18.1200,18.1200,550334728
2016-03-31,18.4700,20.3200,15.3300,16.5500,16.5500,425732291
2016-04-29,16.4100,17.9800,14.3200,14.6200,14.6200,548317513
2016-05-31,14.7300,15.4900,13.7250,15.2200,15.2200,438380960
2016-06-30,15.1000,17.0700,14.0000,16.9100,16.9100,497523139
2016-07-29,16.9300,18.8950,15.6900,16.6400,16.6400,504567443
2016-08-31,16.6500,21.1000,16.2000,19.2100,19.2100,573987225
2016-09-30,19.3700,23.9800,17.5200,23.0500,23.0500,803688061
2016-10-31,23.7800,25.2500,16.2800,17.9500,17.9500,898259975
2016-11-30,17.8400,19.5100,17.2600,18.4900,18.4900,406501637
2016-12-30,18.8200,19.8400,16.1600,16.3000,16.3000,360872955
2017-01-31,16.3100,17.7800,16.2100,17.6200,17.6200,270810599
2017-02-28,17.8400,18.7700,15.5000,15.7700,15.7700,528530458
2017-03-31,15.8700,16.1000,14.3200,14.9500,14.9500,310063281
2017-04-28,14.9700,16.7900,14.1200,16.4800,16.4800,337964978
2017-05-31,17.1400,19.7900,16.9700,18.3200,18.3200,478514047
2017-06-30,18.2200,19.0100,16.2700,17.8700,17.8700,335589915
2017-07-31,17.9400,20.8800,16.0000,16.0900,16.0900,440442955
2017-08-31,16.2000,17.1000,15.6700,16.9100,16.9100,255979325
2017-09-29,16.9700,18.4900,16.4400,16.8700,16.8700,219896780
2017-10-31,16.8000,21.9600,16.7800,20.6200,20.6200,478874415
2017-11-30,20.7400,22.4800,19.2600,20.5800,20.5800,362256313
