Date,Open,High,Low,Close,Adj Close,Volume
2006-05-31,70.0900,72.6900,64.8900,67.7300,541.8400,16161300
2006-06-30,67.1300,70.0200,64.9208,69.7700,558.1600,7001500
2006-07-31,70.2100,79.7900,67.6400,69.5200,556.1600,12937300
2006-08-31,69.9000,72.3400,63.2000,64.8000,518.4000,15925900
2006-09-29,64.7500,64.8000,54.0600,56.8100,454.4800,31844600
2006-10-31,56.7000,56.9000,50.8200,52.1000,416.8000,40555400
2006-11-30,52.1300,55.2100,50.2500,54.5800,436.6400,50874000
2006-12-29,54.3000,55.2000,51.0000,51.6000,412.8000,31050900
2007-01-31,51.4200,51.4200,42.5600,48.2400,385.9200,131916100
2007-02-28,48.2500,51.5370,47.3000,51.1800,409.4400,80611063
2007-03-30,50.9900,54.2000,47.7800,53.3500,426.8000,64668500
2007-04-30,53.4400,54.2200,49.1500,51.2400,409.9200,55318000
2007-05-31,51.1200,51.6300,47.3900,48.9600,391.6800,65371900
2007-06-29,49.1300,53.4500,48.8625,53.0000,424.0000,68540300
2007-07-31,52.7000,58.8300,52.3600,58.5300,468.2400,45776600
2007-08-31,58.5000,59.2000,51.7600,55.7800,446.2400,63277200
2007-09-28,55.9600,64.2500,55.9300,62.5500,500.4000,53905100
2007-10-31,62.2700,73.4300,60.1900,73.2700,586.1600,68440900
2007-11-30,73.1600,77.5900,69.5800,69.9100,559.2800,75259851
2007-12-31,69.1600,77.3152,68.3000,75.7600,606.0800,60402508
2008-01-31,77.3800,79.0900,68.6300,72.3500,578.8000,80902998
2008-02-29,72.1700,81.7100,68.5700,80.4200,643.3600,77680626
2008-03-31,82.0900,87.7900,78.5000,81.3600,650.8800,146938181
2008-04-30,80.0000,96.2800,79.7700,92.5000,740.0000,141325410
2008-05-30,90.8300,108.3600,88.8900,103.0600,824.4800,256061697
2008-06-30,102.0200,115.7700,98.6200,113.6600,909.2800,298673026
2008-07-31,115.8400,127.7600,97.0300,99.9900,799.9200,335016943
2008-08-29,99.6200,103.6400,89.8300,93.4000,747.2000,276396686
2008-09-30,86.8800,89.3000,72.9500,82.0000,656.0000,311332691
2008-10-31,79.5700,81.4400,50.4400,55.4600,443.6800,246328539
2008-11-28,53.8000,58.7800,39.1600,42.0900,336.7200,227503329
2008-12-31,41.0900,41.6400,27.7300,33.1000,264.8000,574601276
2009-01-30,33.7700,38.7500,28.4200,29.2200,233.7600,785817761
2009-02-27,28.4400,30.0000,22.7400,27.0500,216.4000,750306265
2009-03-31,25.5400,32.1600,23.5300,29.0500,232.4000,593345242
2009-04-30,28.1600,31.2300,26.2800,28.6300,229.0400,336025644
2009-05-29,29.1000,36.4200,29.0200,36.4000,291.2000,264849601
2009-06-30,36.9900,40.0000,35.5600,37.9300,303.4400,287250625
2009-07-31,38.7000,38.8700,31.5699,36.8100,294.4800,298004017
2009-08-31,37.9300,38.8000,34.9100,36.0500,288.4000,243821804
2009-09-30,36.2300,37.8400,33.6900,36.1900,289.5200,269063177
2009-10-30,36.2800,41.9200,35.0000,39.3200,314.5600,321715166
2009-11-30,39.3300,41.4400,37.2900,39.1500,313.2000,246915768
2009-12-31,39.8600,40.0600,35.2200,39.2800,314.2400,263531170
2010-01-29,40.0397,41.1900,35.5000,35.6400,285.1200,228745166
2010-02-26,36.0200,39.2300,34.0700,38.8200,310.5600,267320977
2010-03-31,39.0500,40.6300,38.0200,40.2900,322.3200,231438317
2010-04-30,41.0100,42.1900,39.2900,41.3300,330.6400,205529393
2010-05-28,41.3000,41.9000,30.9300,34.0390,272.3120,394361162
2010-06-30,33.6500,36.0400,32.4500,33.9600,271.6800,239771925
2010-07-30,33.6300,35.5600,32.2700,35.3400,282.7200,187176741
2010-08-31,36.1800,37.1500,31.5000,31.9200,255.3600,201465092
2010-09-30,32.4700,34.9600,32.2000,34.8400,278.7200,184562703
2010-10-29,35.3500,36.6700,34.5600,35.1700,281.3600,179380426
2010-11-30,36.1400,38.0600,34.5510,36.0400,288.3200,220168906
2010-12-31,36.7000,39.2500,36.2000,39.0000,312.0000,136986812
2011-01-31,39.3400,39.4800,35.9300,38.6100,308.8800,218765396
2011-02-28,38.6700,40.6000,35.2100,39.1900,313.5200,358054338
2011-03-31,39.5200,42.8300,39.1500,42.6000,340.8000,431791547
2011-04-29,42.7200,45.3450,42.1000,45.1500,361.2000,216074323
2011-05-31,44.9900,45.6000,37.7200,40.5000,324.0000,428553515
2011-06-30,40.5400,40.5600,35.1400,37.2400,297.9200,269549994
2011-07-29,36.9700,39.2500,36.6600,37.4200,299.3600,175916171
2011-08-31,38.3900,38.4700,30.3100,34.5100,276.0800,373640245
2011-09-30,34.4800,35.0785,30.2300,30.4900,243.9200,241829535
2011-10-31,30.0100,36.4900,29.1000,35.7400,285.9200,271338316
2011-11-30,34.6300,39.7400,34.5400,38.7800,310.2400,278304890
2011-12-30,38.6600,39.5000,35.7300,38.1100,304.8800,199922122
2012-01-31,39.2400,39.9600,37.4900,37.8200,302.5600,205608574
2012-02-29,38.1300,42.0700,36.6750,40.9200,327.3600,196039128
2012-03-30,41.1400,42.3000,38.8700,39.2300,313.8400,230581265
2012-04-30,38.9300,40.1300,38.3107,39.6800,317.4400,115074895
2012-05-31,39.6300,40.2880,32.3700,32.6100,260.8800,173006448
2012-06-29,31.7000,32.8000,29.0200,31.8300,254.6400,217893035
2012-07-31,31.4300,34.8400,30.8200,32.6800,261.4400,186768478
2012-08-31,33.0300,36.4500,32.4600,35.8900,287.1200,150917744
2012-09-28,35.9600,37.1700,32.9800,34.1200,272.9600,175750873
2012-10-31,34.4500,34.7000,31.3500,31.7800,254.2400,193293869
2012-11-30,31.8500,32.9250,31.0000,32.5600,260.4800,167623802
2012-12-31,33.0400,33.4710,31.2200,33.3700,266.9600,83499055
2013-01-31,34.0000,35.5300,33.5700,35.2800,282.2400,91435179
2013-02-28,35.0200,35.5200,32.9600,33.0600,264.4800,95972669
2013-03-28,32.6600,34.8400,32.1600,34.7500,278.0000,85291354
2013-04-30,34.4300,34.8600,30.7900,33.1600,265.2800,138026133
2013-05-31,32.3700,34.5900,32.1200,32.6100,260.8800,143441042
2013-06-28,32.9300,35.0550,32.7850,34.1800,273.4400,104275265
2013-07-31,34.6100,38.6200,34.4600,37.3600,298.8800,130598322
2013-08-30,38.1000,39.4600,36.3500,38.4800,307.8400,147505808
2013-09-30,38.2500,39.5400,36.4000,36.8500,294.8000,121678119
2013-10-31,36.6100,37.5900,34.5900,34.6900,277.5200,138613818
2013-11-29,34.4500,34.4500,32.9450,33.4600,267.6800,109618776
2013-12-31,33.4700,36.0700,33.4200,35.3200,282.5600,103051567
2014-01-31,34.6900,35.1800,32.6800,34.8000,278.4000,117060898
2014-02-28,34.8000,37.1100,34.3600,36.7400,293.9200,71040534
2014-03-31,37.3900,37.7400,34.9700,36.5900,292.7200,66210663
2014-04-30,36.4500,37.8100,35.6300,36.3200,290.5600,57403416
2014-05-30,36.0300,38.2700,35.9600,37.6800,301.4400,41468464
2014-06-30,37.5200,39.4350,37.2100,38.8800,311.0400,45973174
2014-07-31,39.0200,39.1200,36.2700,36.3150,290.5200,73687732
2014-08-29,36.1200,36.5550,34.5800,35.7600,286.0800,72687173
2014-09-30,35.2800,35.7600,33.9128,34.4100,275.2800,97164621
2014-10-31,34.6000,34.9800,29.0200,30.6300,245.0400,175293770
2014-11-28,30.5100,30.7200,25.4600,25.5800,204.6400,208705357
2014-12-31,25.3100,26.3899,19.8401,20.3600,162.8800,482688018
2015-01-30,19.9700,20.3500,16.3000,17.8200,142.5600,664106430
2015-02-27,18.4000,20.2900,17.5800,18.1000,144.8000,751157930
2015-03-31,18.1300,19.1000,15.6100,16.8400,134.7200,660352273
2015-04-30,17.0000,20.5500,16.9300,20.5100,164.0800,576790992
2015-05-29,20.3000,21.5000,19.0911,20.3100,162.4800,429076152
2015-06-30,20.3600,20.8000,19.2300,19.8800,159.0400,333372835
2015-07-31,19.5400,19.5800,15.5400,15.5900,124.7200,530800658
2015-08-31,15.2900,16.1500,12.3700,15.8900,127.1200,684944028
2015-09-30,15.4800,15.8500,14.1600,14.6800,117.4400,613877373
2015-10-30,15.1500,16.1990,13.6100,14.8100,118.4800,614383773
2015-11-30,14.6900,15.4500,12.8100,12.9300,103.4400,517444353
2015-12-31,12.9200,13.1100,10.5200,11.0000,88.0000,744725233
2016-01-29,11.2600,11.4200,7.9200,9.6500,77.2000,1248579112
2016-02-29,9.3450,9.6500,7.6700,9.0000,72.0000,1095273681
2016-03-31,8.9800,10.8000,8.8900,9.7000,77.6000,875772197
2016-04-29,9.4100,11.5000,8.9900,11.3000,90.4000,753032046
2016-05-31,11.2400,12.1300,10.6300,11.8700,94.9600,477834541
2016-06-30,11.6200,12.4500,10.9600,11.5700,92.5600,519459566
2016-07-29,11.5200,11.7800,9.5500,9.7600,78.0800,490925596
2016-08-31,9.6200,11.3750,9.2300,10.3600,82.8800,741723369
2016-09-30,10.1900,11.0300,9.8200,10.9300,87.4400,983628900
2016-10-31,11.0400,11.7900,10.5300,10.5300,84.2400,975664695
2016-11-30,10.6500,11.1000,9.5600,10.9300,87.4400,959274628
2016-12-30,11.3150,11.9400,11.0700,11.7200,93.7600,664064890
2017-01-31,11.9800,12.0000,11.0636,11.3200,90.5600,426823077
2017-02-28,11.4200,11.6500,11.0400,11.4500,91.6000,385666067
2017-03-31,11.5100,11.5500,9.8800,10.6400,85.1200,601365694
2017-04-28,10.6150,11.2600,10.0400,10.2400,81.9200,477275865
2017-05-31,10.1900,10.7000,9.4300,9.9600,79.6800,700863270
2017-06-30,10.0100,10.1600,8.6500,9.5000,76.0000,763736645
2017-07-31,9.5500,10.3200,9.0000,10.2800,82.2400,625593892
2017-08-31,10.1700,10.2500,9.3400,9.6300,77.0400,530211812
2017-09-29,9.6000,10.6500,9.5100,10.4300,83.4400,373863722
2017-10-31,10.1700,10.9600,9.9201,10.9300,87.4400,335618724
2017-11-30,11.0300,11.7900,10.8200,11.4700,91.7600,352062795
2017-12-29,11.6500,12.0900,11.1800,12.0100,96.0800,251100018
2018-01-31,12.0700,13.3000,12.0100,12.9800,103.8400,389001083
2018-02-28,13.0800,13.2600,11.6490,12.3700,98.9600,448291995
2018-03-29,12.2600,13.3000,12.0800,13.0900,104.7200,427891614
