Date,Open,High,Low,Close,Adj Close,Volume
2004-02-27,49.2500,50.6500,48.0500,50.0000,39.0438,125800
2004-03-31,49.9500,51.4000,47.7500,50.4000,39.3562,112300
2004-04-30,50.6500,51.8000,47.9200,48.0300,37.5055,229300
2004-05-28,48.0000,49.1900,45.6800,49.0400,38.2942,435600
2004-06-30,49.0000,50.8900,48.3500,50.8900,39.7388,666100
2004-07-30,51.0000,51.0000,46.3800,47.7800,37.3103,460500
2004-08-31,47.6700,48.0000,45.2500,47.3500,36.9745,508800
2004-09-30,47.8900,50.1200,47.8300,49.6900,38.8017,615700
2004-10-29,50.4500,51.3000,49.2700,50.7500,39.6295,513700
2004-11-30,50.7600,54.9500,50.7600,54.7800,42.7764,367000
2004-12-31,54.8900,56.5500,53.9400,56.1600,44.3459,528400
2005-01-31,56.3500,56.3600,52.3300,54.1600,42.7667,999500
2005-02-28,54.1000,55.6900,53.8400,55.2500,43.6274,3301200
2005-03-31,55.4000,56.5300,53.1000,53.8500,42.5258,619500
2005-04-29,54.3900,54.5800,50.5600,51.5100,40.6779,1127000
2005-05-31,51.6300,54.8700,51.4800,54.6900,43.1891,191400
2005-06-30,54.6900,57.3100,54.6900,56.4800,44.6027,277600
2005-07-29,56.8000,60.5700,56.5800,60.1000,47.4615,461900
2005-08-31,60.4500,60.8000,57.3600,58.9500,46.5533,482800
2005-09-30,59.3500,60.4500,57.3200,59.4900,46.9797,319300
2005-10-31,59.9500,60.0900,54.8900,57.2000,45.1713,575300
2005-11-30,57.4300,61.1500,57.0900,60.3400,47.6510,376800
2005-12-30,60.7500,61.7300,59.3400,59.5500,47.5595,561800
2006-01-31,59.9200,64.4100,59.0000,64.0900,51.1854,838400
2006-02-28,64.1700,65.1400,62.2500,64.2100,51.2812,620200
2006-03-31,64.5600,67.1200,62.8400,66.8600,53.4058,1036000
2006-04-28,66.8900,67.8800,65.0100,66.9000,53.4377,636100
2006-05-31,67.2600,68.4500,61.4500,63.5100,50.7299,1561000
2006-06-30,63.7600,65.2800,59.3000,63.5300,50.7459,1773100
2006-07-31,63.5000,64.1600,59.1500,61.5700,49.1803,934600
2006-08-31,61.1700,63.2500,59.5800,62.9900,50.3145,953300
2006-09-29,63.3100,64.4500,61.3805,63.5200,50.7379,1044700
2006-10-31,63.5300,67.8100,62.5200,66.7700,53.3339,1099200
2006-11-30,67.1400,69.4300,65.4000,68.9800,55.0992,789300
2006-12-29,69.0200,70.1200,67.4800,68.1000,55.0612,923500
2007-01-31,68.5500,70.0399,66.7700,69.8000,56.4357,1226600
2007-02-28,70.0300,72.6000,68.8100,69.7200,56.3710,1300700
2007-03-30,68.6700,71.3700,66.8000,70.5300,57.0372,1312100
2007-04-30,70.8000,74.0000,70.4300,72.4000,58.5494,2225800
2007-05-31,72.5700,75.8500,71.8700,75.6300,61.1615,882600
2007-06-29,76.0500,76.4400,73.0000,74.5900,60.3205,2402000
2007-07-31,74.9300,76.6460,69.6000,69.9500,56.5681,1775700
2007-08-31,69.9000,71.8800,65.5000,71.0200,57.4334,2861600
2007-09-28,70.9500,74.0100,68.5000,72.6700,58.7678,2128500
2007-10-31,72.7000,76.4520,71.0400,74.4900,60.2396,2302100
2007-11-30,73.4700,73.5700,66.3300,69.5400,56.2366,2922200
2007-12-31,69.7800,72.1400,66.7070,68.0700,55.8061,3291400
2008-01-31,68.4500,68.4500,56.8000,63.7200,52.2398,6713500
2008-02-29,64.1300,65.5100,61.6900,62.2000,50.9937,4407800
2008-03-31,62.1700,63.3400,57.7200,61.6500,50.5831,7158300
2008-04-30,62.5000,66.1500,61.8680,65.1520,53.4564,2754400
2008-05-30,65.3500,68.8800,65.0500,68.3000,56.0393,3263300
2008-06-30,68.3600,69.5700,62.5000,62.5300,51.3051,2916400
2008-07-31,62.0000,64.6400,58.0000,63.4400,52.0517,7611900
2008-08-29,63.7700,67.2300,62.4340,65.4800,53.7255,6933200
2008-09-30,66.3900,75.0000,57.2700,59.6500,48.9421,4643100
2008-10-31,59.1400,59.1400,38.4600,46.6100,38.2429,8771000
2008-11-28,46.5100,47.8590,32.4800,41.2900,33.8779,16066400
2008-12-31,40.5900,43.1900,36.4000,42.4700,35.6234,10230800
2009-01-30,42.7400,44.6730,37.0800,38.3700,32.1843,9833300
2009-02-27,37.7200,40.6580,33.3561,33.7600,28.3175,6800000
2009-03-31,32.9400,38.8200,29.5605,36.6100,30.7252,7174800
2009-04-30,36.1900,44.8000,35.9000,43.4400,36.4573,8279200
2009-05-29,43.5600,46.6500,42.0800,45.8900,38.5135,9407600
2009-06-30,46.2100,48.1800,43.4600,45.7500,38.3960,5622400
2009-07-31,46.1100,50.7400,42.4600,50.1200,42.0635,5718500
2009-08-31,50.5600,53.9400,49.7100,52.2600,43.8595,8158600
2009-09-30,52.0000,57.6000,50.4100,55.5500,46.6207,4603800
2009-10-30,55.5300,57.6600,51.7300,52.0200,43.6581,7471100
2009-11-30,52.3600,56.3300,51.1900,53.7300,45.0932,24766400
2009-12-31,54.4000,58.7100,54.2100,57.3500,48.6576,6022800
2010-01-29,58.1600,59.9000,55.3000,55.4200,47.0202,5496000
2010-02-26,55.6200,58.7700,53.5000,58.0900,49.2855,7763600
2010-03-31,58.6100,64.1700,58.6000,62.9900,53.4503,15629000
2010-04-30,63.5000,69.2200,62.9700,66.5100,56.4372,15430600
2010-05-28,66.8600,67.8800,25.0000,61.3500,52.0587,13524900
2010-06-30,60.6200,62.9300,56.3000,56.6000,48.0281,7633300
2010-07-30,56.5800,62.7300,54.7200,60.6700,51.4817,18372900
2010-08-31,61.7300,62.0000,55.4300,56.6400,48.0620,9329600
2010-09-30,57.4900,64.3500,57.3876,63.4400,53.8322,8411300
2010-10-29,64.0600,67.1100,62.5108,66.0300,56.0299,12344000
2010-11-30,66.4500,69.3900,65.3319,68.1300,57.8119,6732800
2010-12-31,69.4400,74.1400,69.3120,72.6300,62.3359,8947600
2011-01-31,73.3800,75.1500,72.1300,73.1400,62.7736,8154100
2011-02-28,73.7200,78.6000,73.6000,77.1800,66.2410,13482000
2011-03-31,77.5000,79.0300,72.8000,78.9900,67.7999,13064300
2011-04-29,79.5500,81.5200,76.6100,81.3100,69.7912,4884900
2011-05-31,81.8100,81.8500,76.2800,79.7200,68.4264,7277300
2011-06-30,79.6300,79.6300,72.9700,78.0500,66.9930,10181800
2011-07-29,78.1600,81.2100,73.8300,75.2200,64.5639,6614800
2011-08-31,76.1600,76.5700,60.5100,68.9400,59.1736,30356300
2011-09-30,68.9500,69.7500,60.5500,61.3700,52.6760,16961400
2011-10-31,60.7300,73.3700,57.2510,70.7500,60.7272,9155700
2011-11-30,67.9900,72.2200,64.1000,70.4401,60.4612,4701000
2011-12-30,70.1200,71.9048,67.1400,69.6700,60.6007,7197700
2012-01-31,71.2200,75.4300,69.2500,74.5100,64.8106,7913700
2012-02-29,75.2500,78.6900,75.0500,76.9500,66.9330,8297300
2012-03-30,77.3300,80.1000,74.5000,78.7200,68.4893,7000000
2012-04-30,78.4600,79.6500,74.5400,77.9200,67.7933,6290600
2012-05-31,77.9900,79.2700,70.9600,72.6800,63.2343,7996600
2012-06-29,71.0000,76.1000,69.4310,76.0400,66.1576,7577600
2012-07-31,76.3800,78.0000,73.1100,75.2800,65.4964,6236200
2012-08-31,75.6700,79.2300,73.3900,77.9600,67.8281,4079400
2012-09-28,77.6800,83.4000,77.5300,80.1400,69.7248,4346700
2012-10-31,80.4200,81.8500,77.8500,78.9900,68.7242,4276000
2012-11-30,79.1000,80.6299,74.4800,79.9800,69.5856,5973700
2012-12-31,80.5800,82.8400,78.9500,80.9000,71.6841,7453000
2013-01-31,82.8500,86.6300,82.5700,86.0400,76.2386,8888000
2013-02-28,86.6900,89.0500,85.2601,87.1200,77.1956,8101300
2013-03-28,86.6300,91.4300,85.9400,91.1500,80.7816,8475800
2013-04-30,91.1400,91.7168,86.8500,91.4200,81.0209,8854600
2013-05-31,91.1700,97.4800,89.6400,94.7100,83.9366,6032400
2013-06-28,95.0000,95.9700,89.9200,93.7100,83.0504,7485100
2013-07-31,94.3400,100.9275,94.3400,100.0700,88.6869,7940900
2013-08-30,101.0000,102.0000,96.7500,96.8300,85.8155,5966700
2013-09-30,98.1200,103.6823,96.4700,102.4900,90.8316,7124200
2013-10-31,102.2700,107.3899,99.3400,105.7500,93.7208,7282700
2013-11-29,105.9500,109.1400,103.9600,108.6200,96.2643,7502700
2013-12-31,108.7700,110.6900,105.7000,109.9500,98.7079,10052400
2014-01-31,109.6900,111.8000,106.1400,107.6900,96.6790,8303700
2014-02-28,107.4900,114.0500,103.5100,113.1600,101.5897,8015500
2014-03-31,112.2000,115.4500,110.2900,112.9500,101.4092,8198100
2014-04-30,113.0600,114.7411,106.7700,110.1900,98.9312,7807400
2014-05-30,110.3100,112.0700,106.9300,111.5800,100.1792,6352600
2014-06-30,112.0100,117.1500,110.6500,117.1200,105.1532,6347900
2014-07-31,117.7100,118.7499,111.2400,111.2400,99.8740,7327900
2014-08-29,111.3300,117.9000,110.1300,116.8700,104.9287,6418600
2014-09-30,117.1300,117.9000,110.6300,110.6300,99.3263,6094359
2014-10-31,110.5200,116.0500,103.2000,115.6300,103.8154,13186348
2014-11-28,115.9800,118.5000,114.4900,116.8500,104.9108,8429626
2014-12-31,116.4900,118.4499,112.0000,116.6600,106.2362,14254557
2015-01-30,117.2500,117.5100,112.1600,114.1600,103.9596,10480635
2015-02-27,114.3800,121.4600,112.8500,120.7800,109.9881,7588161
2015-03-31,120.8500,123.9000,117.9101,122.5600,111.6572,10478804
2015-04-30,122.1600,124.4000,119.6484,120.0600,109.3796,10178880
2015-05-29,120.4400,124.0000,119.2200,122.4800,111.5843,8571080
2015-06-30,123.2700,125.5100,120.9300,121.4700,110.6641,8574244
2015-07-31,122.6100,123.4300,117.5200,121.1200,110.3453,11727990
2015-08-31,121.1500,121.8550,90.0300,114.0600,103.9133,16214175
2015-09-30,112.9200,117.4100,105.8600,107.9500,99.2042,11761679
2015-10-30,107.9700,115.1300,106.2500,114.0800,104.8376,9554047
2015-11-30,114.2300,117.0400,111.2700,116.1300,106.7215,8341012
2015-12-31,116.7500,117.0900,108.3810,110.6400,102.2448,16294334
2016-01-29,109.0000,109.2900,94.2500,102.2900,94.5283,20184809
