Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,25.0600,33.0000,24.6200,33.0000,25.1424,20015700
2000-01-31,32.7500,32.9400,24.5600,24.8800,18.9558,14834100
2000-02-29,25.0000,25.5600,21.3100,21.8800,16.8475,16244500
2000-03-31,21.6200,25.5600,20.6200,25.0000,19.2499,17405200
2000-04-28,25.2500,26.2500,22.8100,25.0600,19.2961,11912100
2000-05-31,25.0000,26.8800,22.3100,22.5600,17.5559,18131100
2000-06-30,22.5000,23.1900,18.2500,18.5600,14.4432,17952000
2000-07-31,18.5000,19.6900,17.3800,17.9400,13.9607,13725700
2000-08-31,18.1200,18.5600,16.7500,17.3800,13.7148,16684800
2000-09-29,17.5600,18.6200,14.8800,15.1900,11.9866,14578800
2000-10-31,15.1900,16.3800,13.5000,15.9400,12.5784,15813400
2000-11-30,15.8100,15.8800,12.6900,14.2500,11.4421,11792600
2000-12-29,14.5000,18.3100,14.5000,18.0000,14.4532,17282700
2001-01-31,18.0000,18.0000,14.8800,15.6400,12.5582,14240800
2001-02-28,15.8900,17.0000,14.0000,15.2400,12.4369,15601600
2001-03-30,15.4200,17.0900,14.2600,14.6900,11.9880,15616200
2001-04-30,14.6000,19.1000,13.7200,18.4100,15.0238,28844600
2001-05-31,18.3000,20.9700,18.2800,19.5200,16.0129,17507100
2001-06-29,19.4500,22.0000,19.0500,20.1500,16.5298,20244900
2001-07-31,20.2000,21.7000,18.4600,19.7000,16.1606,12679900
2001-08-31,19.9000,20.5800,18.8700,19.8900,16.3961,10100600
2001-09-28,19.9500,20.4700,13.0800,13.9800,11.5242,13293800
2001-10-31,14.0000,15.8900,13.0000,14.3900,11.8622,16034400
2001-11-30,14.5100,17.5000,13.9500,16.8900,14.0149,16177500
2001-12-31,16.7100,18.7500,15.9600,18.1100,15.0273,17312800
2002-01-31,18.1100,19.9900,17.4800,19.9800,16.5790,13270500
2002-02-28,19.9500,19.9500,17.5800,17.7200,14.7431,14490900
2002-03-28,17.5000,18.6000,16.3600,18.1500,15.1009,22873100
2002-04-30,18.1000,19.1000,17.2200,18.0400,15.0094,21541900
2002-05-31,18.0400,20.9000,17.5000,20.5400,17.1346,25711800
2002-06-28,20.5400,22.0000,19.0500,19.8900,16.5923,20832200
2002-07-31,19.9800,19.9900,14.6000,16.6500,13.8895,19717800
2002-08-30,16.6600,17.0000,13.2000,13.7300,11.4927,26012300
2002-09-30,13.6300,13.8000,10.6600,11.6100,9.7182,18107300
2002-10-31,11.6400,13.7400,10.8700,12.8500,10.7561,25146600
2002-11-29,12.8800,14.7100,11.7500,14.4800,12.1681,16105800
2002-12-31,14.9000,14.9000,12.8500,13.1200,11.0253,14397200
2003-01-31,13.1600,17.7300,12.8900,14.3500,12.0589,33285000
2003-02-28,14.4500,14.6200,11.4600,11.6200,9.8042,60669300
2003-03-31,11.7800,11.8600,9.6100,9.8300,8.2939,34863600
2003-04-30,9.9500,14.4400,9.7200,14.3200,12.0823,54449500
2003-05-30,14.2800,15.8500,13.5100,15.7500,13.3328,35807500
2003-06-30,15.9000,17.8800,15.8500,16.3700,13.8576,23133700
2003-07-31,16.1200,16.7500,15.1000,15.7600,13.3412,25763000
2003-08-29,15.6500,18.5000,15.4200,18.4100,15.6300,35331500
2003-09-30,18.3100,20.0500,17.8800,18.3800,15.6046,29621900
2003-10-31,18.5700,24.1500,18.5400,23.6500,20.0788,40577300
2003-11-28,23.6600,24.9600,22.5000,24.8500,21.1437,40444400
2003-12-31,24.8400,37.0500,24.7400,35.0200,29.7969,69525300
2004-01-30,35.4800,37.9000,31.6200,34.0500,28.9716,57265800
2004-02-27,34.2500,37.0900,31.4000,36.7500,31.3127,47910300
2004-03-31,37.0800,40.1500,33.5300,37.2700,31.7557,89221700
2004-04-30,37.2400,39.9800,28.5000,28.6300,24.3941,83733700
2004-05-28,28.6500,30.8000,25.2200,30.3600,25.9183,78489000
2004-06-30,30.3700,35.5000,28.5100,35.1200,29.9819,55856800
2004-07-30,35.2500,38.3300,32.9500,38.1400,32.5600,63094100
2004-08-31,38.0000,38.2000,33.5000,36.9100,31.5523,53004500
2004-09-30,36.9600,39.9800,34.7300,37.6200,32.1593,63572700
2004-10-29,39.4000,41.8500,32.1200,36.7200,31.3899,91867300
2004-11-30,36.8800,52.6500,36.6000,52.3600,44.8085,88456600
2004-12-31,52.3600,54.0600,46.1500,51.2500,43.8586,81078800
2005-01-31,51.2400,53.9000,45.2000,51.8000,44.3293,83015300
2005-02-28,52.0000,63.9000,51.0500,62.3600,53.4466,77223200
2005-03-31,62.4000,62.8900,49.0400,50.8500,43.5817,115081500
2005-04-29,51.2000,52.1800,41.0100,42.7600,36.6481,122128100
2005-05-31,42.6000,45.3300,37.1000,39.7700,34.1741,103788000
2005-06-30,39.7700,42.3900,34.0500,34.3700,29.5339,114866900
2005-07-29,34.5500,44.5200,34.0900,42.6500,36.6489,102704000
2005-08-31,42.8000,45.7000,39.4000,41.9200,36.1033,80949200
2005-09-30,42.5100,45.9500,41.7400,42.3500,36.4736,66304700
2005-10-31,42.3500,42.5200,33.5900,36.5300,31.4612,76692500
2005-11-30,36.6000,48.1000,36.5500,47.6000,41.1027,81901700
2005-12-30,47.8300,51.6300,44.6700,48.0700,41.5086,85743400
2006-01-31,48.5500,62.0000,48.0500,59.7500,51.5943,84460800
2006-02-28,60.0000,62.5000,53.5800,54.5000,47.1476,82487900
2006-03-31,55.3000,64.4700,53.2500,60.6800,52.4939,80844400
2006-04-28,61.9500,69.8800,61.2000,68.5000,59.2589,75324000
2006-05-31,69.6000,77.7700,58.6800,66.3800,57.5493,120422600
2006-06-30,65.6500,70.6400,56.1500,70.1200,60.7917,126123700
2006-07-31,69.4000,70.6600,56.2000,63.0700,54.6796,106640100
2006-08-31,63.0700,63.3000,56.1200,58.1700,50.5639,97842400
2006-09-29,58.7300,62.5300,53.6300,57.6800,50.1380,97319200
2006-10-31,57.9300,70.3800,54.1800,67.6000,58.7609,109854100
2006-11-30,67.7000,76.1600,64.3500,74.7900,65.2050,89218800
2006-12-29,74.1700,79.0100,71.2200,73.1400,63.7665,71542000
2007-01-31,72.5500,84.1800,68.8300,83.4900,72.7901,72767700
2007-02-28,84.3700,94.9500,82.5500,88.6800,77.4956,72547600
2007-03-30,86.2500,101.6000,83.9700,99.1700,86.6625,95320800
2007-04-30,99.3000,108.2000,99.0700,101.5400,88.7336,59143500
2007-05-31,101.7600,113.8400,99.2700,113.1600,99.0675,67376700
2007-06-29,114.1000,127.2600,105.0800,108.7500,95.2067,81913000
2007-07-31,110.0000,116.3700,96.9900,98.2900,86.0493,62837500
2007-08-31,97.8100,98.6400,74.4100,94.4800,82.9024,101939900
2007-09-28,93.3400,108.4700,88.9600,105.9400,92.9581,66542700
2007-10-31,106.5000,114.6800,102.0900,107.9000,94.6779,76197000
2007-11-30,106.3700,107.1200,85.0500,97.7000,85.9101,87912200
2007-12-31,98.4600,121.1200,93.2400,120.9100,106.3192,63301600
2008-01-31,120.5900,121.9300,91.1100,101.9600,89.6560,118963600
2008-02-29,104.2600,116.3900,92.4700,108.4500,95.6006,96518800
2008-03-31,108.5400,128.3000,103.2200,126.8700,111.8382,96678700
2008-04-30,125.3700,158.2300,122.0000,153.9500,135.7097,111291000
2008-05-30,153.4900,185.5500,147.5000,172.7100,152.4685,111825200
2008-06-30,172.0000,196.0000,163.9000,184.7800,163.1239,108722900
2008-07-31,182.0100,182.7900,133.6900,160.3600,141.5659,205800200
2008-08-29,160.0000,161.0000,126.2000,133.0700,117.7486,135765700
2008-09-30,127.8000,128.0000,68.6200,77.6100,68.6742,227002800
2008-10-31,77.1100,77.9200,28.4300,36.8800,32.6337,365705100
2008-11-28,37.0700,42.5800,20.7100,30.4000,27.3867,207391800
2008-12-31,28.7000,44.1300,25.3900,37.2000,33.5127,213050600
2009-01-30,37.7200,41.4700,28.3600,30.0300,27.0534,208590300
2009-02-27,29.3400,36.7000,19.0300,19.6700,17.8720,264264200
2009-03-31,19.2000,25.7400,16.6600,21.1300,19.1985,453976800
2009-04-30,20.5000,30.3800,20.1700,26.5500,24.1231,391859400
2009-05-29,26.6400,34.0800,25.9600,34.0800,31.0176,345503400
2009-06-30,35.5800,43.1500,33.1200,35.7400,32.5284,382970400
2009-07-31,36.3600,41.7300,29.3500,39.7500,36.1781,311798800
2009-08-31,41.1700,47.6000,40.8800,43.7800,39.8914,284879400
2009-09-30,43.3900,51.6500,41.1000,44.3700,40.4290,241242000
2009-10-30,44.0400,45.8700,33.9700,34.4900,31.4265,289233300
2009-11-30,35.0700,44.9600,33.2500,44.6600,40.7476,208996700
2009-12-31,45.6100,58.1900,43.3100,55.1200,50.2913,188672600
2010-01-29,56.4200,66.4500,43.7500,44.4300,40.5378,395520600
2010-02-26,45.1700,54.1300,42.3200,52.9400,48.3571,371731500
2010-03-31,53.5800,65.5200,52.9000,63.5200,58.0212,372867500
2010-04-30,64.7400,70.9500,54.3000,54.6600,49.9282,351187600
2010-05-28,55.0600,57.9600,43.6100,47.2100,43.1619,436577400
2010-06-30,46.0500,46.6500,38.3900,38.5500,35.2445,306170000
2010-07-30,38.5500,49.7000,36.9300,44.3300,40.5288,289118000
2010-08-31,45.5000,51.3900,41.5000,42.4900,38.8864,266072900
2010-09-30,44.0300,49.1400,41.8000,43.8400,40.1219,277423800
2010-10-29,44.7200,46.6500,39.7800,42.7200,39.0969,257020100
2010-11-30,43.1000,49.1500,42.8600,48.6100,44.5340,216131000
2010-12-31,49.4600,59.5000,49.3500,58.4200,53.5214,195877100
2011-01-31,59.2900,61.1800,51.3300,57.6700,52.8343,239651300
