Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,28.4700,30.8900,28.3800,30.8900,22.4516,2852900
2000-01-31,31.0000,32.9400,29.1600,30.1100,21.8847,1869900
2000-02-29,30.2200,31.8100,27.0000,28.1400,20.4529,1110800
2000-03-31,28.2700,31.3600,27.2200,30.6700,22.2917,2289900
2000-04-28,30.9200,31.1300,27.1400,30.3100,22.0301,253600
2000-05-31,30.4100,30.5600,27.9700,29.5000,21.4413,511400
2000-06-30,29.5600,30.5000,28.9100,29.5600,21.4849,1862700
2000-07-31,29.2500,30.4400,28.6300,29.1300,21.1724,523000
2000-08-31,29.0300,30.6600,29.0300,30.1600,21.9210,354500
2000-09-29,30.0300,30.2800,28.0000,29.0600,21.1215,2885000
2000-10-31,29.2500,30.4700,25.1900,29.5000,21.4413,294700
2000-11-30,29.5500,30.3800,26.3800,26.8100,19.4862,331100
2000-12-29,26.8800,28.8100,25.9700,27.2500,19.8482,397700
2001-01-31,27.0000,30.2500,26.1400,29.2200,21.2831,1071600
2001-02-28,29.5000,29.8500,27.7900,28.6600,20.8752,936100
2001-03-30,28.5300,28.8400,24.5500,26.8200,19.5387,419800
2001-04-30,26.9500,29.2600,25.7000,28.8000,20.9811,8234700
2001-05-31,28.8900,30.8100,28.3300,29.9000,21.7825,397900
2001-06-29,29.8000,30.1800,28.4500,29.5500,21.5364,366300
2001-07-31,29.5500,29.8600,27.8900,28.9600,21.1064,258400
2001-08-31,28.8500,29.3000,27.1600,27.4900,20.0350,590800
2001-09-28,27.4500,28.0100,21.0000,23.5000,17.1342,2230800
2001-10-31,23.5000,24.8500,23.0600,23.6200,17.2217,592600
2001-11-30,23.4700,26.8000,23.4700,26.3600,19.2194,1248100
2001-12-31,26.5500,28.0300,26.1400,26.9500,19.6846,939200
2002-01-31,27.2000,28.1000,22.4400,26.7500,19.5386,2801500
2002-02-28,27.0500,28.2000,26.0500,27.9800,20.4370,843000
2002-03-28,28.0500,30.1000,27.9100,29.5900,21.6221,1213900
2002-04-30,29.4600,30.5200,28.7000,29.4100,21.4905,2263800
2002-05-31,29.5000,30.5000,29.0000,29.8200,21.7901,1439900
2002-06-28,29.9500,29.9700,26.5500,27.6800,20.2312,2091600
2002-07-31,27.5000,27.5000,21.6500,26.8800,19.6465,1568000
2002-08-30,26.7000,28.6200,24.8100,27.1400,19.8366,1350200
2002-09-30,26.8000,27.5500,25.0000,25.3800,18.6075,1839700
2002-10-31,25.6600,28.1400,25.0000,26.8600,19.6926,5216700
2002-11-29,26.6000,28.2200,26.6000,27.6900,20.3011,2369800
2002-12-31,27.8500,27.8500,25.8000,26.5500,19.5374,1749800
2003-01-31,26.7500,27.9000,25.5200,26.4600,19.4711,2795100
