Date,Open,High,Low,Close,Adj Close,Volume
2012-04-30,26.9000,28.4000,20.2700,22.8600,22.8600,15488100
2012-05-31,23.2900,23.6900,15.6600,16.7100,16.7100,15334900
2012-06-29,16.2800,23.4800,14.1000,22.7300,22.7300,12764000
2012-07-31,23.4000,27.7400,18.8800,19.9600,19.9600,9672300
2012-08-31,20.0500,28.9300,17.5000,22.0000,22.0000,34335300
2012-09-28,21.9900,27.4000,21.7000,27.0500,27.0500,27316400
2012-10-31,26.6700,29.4800,22.7000,24.1000,24.1000,16797600
2012-11-30,24.1201,24.5100,16.3200,18.9100,18.9100,23988000
2012-12-31,18.9000,20.2000,17.4800,18.8500,18.8500,18722200
2013-01-31,19.1700,22.4399,19.1300,21.2400,21.2400,24628800
2013-02-28,21.4400,22.9600,20.1000,22.1900,22.1900,21277200
2013-03-28,21.8900,25.4600,21.7701,23.7100,23.7100,22900200
2013-04-30,23.6500,27.3000,22.4800,26.0300,26.0300,20725800
2013-05-31,26.0600,32.8800,25.1700,29.8100,29.8100,47367900
2013-06-28,29.6300,36.1400,26.7500,34.7700,34.7700,27579300
2013-07-31,34.7100,42.8400,33.9299,41.8000,41.8000,37029000
2013-08-30,49.6000,59.3500,46.9600,51.9800,51.9800,88808300
2013-09-30,52.6500,71.5000,51.6210,66.1800,66.1800,74378600
2013-10-31,67.3600,75.3700,60.8300,67.7500,67.7500,92460500
2013-11-29,67.8300,71.8700,56.6500,60.6900,60.6900,72128900
2013-12-31,60.0600,69.2400,58.4200,68.9500,68.9500,46847400
2014-01-31,68.7500,83.9553,66.4744,75.9500,75.9500,64744400
2014-02-28,76.7500,99.9900,73.1500,94.4200,94.4200,80405100
2014-03-31,91.8200,101.7500,74.2500,76.9300,76.9300,75059200
2014-04-30,77.5300,81.4000,52.4000,58.3200,58.3200,146963600
2014-05-30,63.2500,68.8700,49.1100,66.1500,66.1500,159301100
2014-06-30,66.1300,79.3000,62.5300,76.6800,76.6800,105806300
2014-07-31,77.3500,82.8100,66.3600,67.1600,67.1600,96241600
2014-08-29,67.8700,83.3600,64.7000,82.4200,82.4200,78181500
2014-09-30,82.8600,86.8799,67.3200,68.2500,68.2500,53653580
2014-10-31,68.2100,73.4100,54.6400,60.0000,60.0000,109759231
2014-11-28,60.2700,63.7600,55.1700,57.0900,57.0900,48461103
2014-12-31,56.8800,57.0000,49.1700,54.7300,54.7300,44969610
2015-01-30,55.4600,56.9900,50.0300,52.4700,52.4700,46332716
2015-02-27,52.9400,57.7000,42.1000,48.0000,48.0000,95982794
2015-03-31,48.0200,48.9800,44.2500,47.3500,47.3500,57948064
2015-04-30,47.2500,52.5100,38.7500,39.3900,39.3900,71787442
2015-05-29,39.3100,50.9900,37.9099,47.9100,47.9100,130512200
2015-06-30,47.7100,48.8999,42.3200,43.0300,43.0300,58211408
2015-07-31,43.3600,43.4899,23.6600,26.4000,26.4000,126681833
2015-08-31,26.6000,27.7000,20.5000,24.2800,24.2800,69317783
2015-09-30,23.5900,25.9300,20.9950,21.6600,21.6600,46471724
2015-10-30,21.6500,25.0200,20.6000,22.2500,22.2500,74754421
2015-11-30,22.2600,31.2500,22.2100,30.1300,30.1300,57248801
2015-12-31,30.1100,32.4700,26.0300,28.8000,28.8000,44469634
2016-01-29,28.4000,28.5500,18.9400,20.9500,20.9500,49077151
2016-02-29,21.0500,21.2700,14.5300,20.2400,20.2400,78475378
2016-03-31,20.4000,22.4700,18.6500,19.8800,19.8800,43866134
2016-04-29,19.7800,21.8900,19.2100,21.0000,21.0000,29304084
2016-05-31,21.0700,27.4400,20.7700,26.1900,26.1900,75522624
2016-06-30,26.0200,30.5400,25.4600,30.3600,30.3600,46745787
2016-07-29,30.6700,32.4100,28.6800,32.1700,32.1700,40909700
2016-08-31,32.0100,39.1000,31.0000,38.4800,38.4800,69395552
2016-09-30,38.4300,41.9400,36.0400,41.7000,41.7000,42131742
2016-10-31,41.5500,43.3600,32.0900,32.6600,32.6600,50048239
2016-11-30,32.7600,39.3300,32.0000,37.2000,37.2000,51145631
2016-12-30,37.1000,41.1700,34.6200,38.1300,38.1300,42868001
2017-01-31,38.5000,43.0300,37.5600,41.7800,41.7800,30512464
